time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed

1600355347.3689077,3,False,True,23.625,1600355345.6089334,23.562,1600355346.4889238,23.437,1600355347.368902,2.622183322906494

1600355350.4089086,3,False,True,23.625,1600355348.6489222,23.562,1600355349.528917,23.437,1600355350.4089024,2.6617424488067627

1600355353.3688955,3,False,True,23.625,1600355351.6089144,23.562,1600355352.488879,23.437,1600355353.3688889,2.6213319301605225

1600355356.408899,3,False,True,23.625,1600355354.6489515,23.625,1600355355.5288904,23.437,1600355356.4088926,2.6609160900115967

1600355359.368925,3,False,True,23.625,1600355357.608928,23.562,1600355358.4889016,23.437,1600355359.368919,2.620535135269165

1600355362.4088876,3,False,True,23.625,1600355360.6489065,23.562,1600355361.528898,23.437,1600355362.4088812,2.660052537918091

1600355365.368906,3,False,True,23.625,1600355363.6089141,23.562,1600355364.488719,23.437,1600355365.3689,2.619678020477295

1600355368.4088836,3,True,True,23.625,1600355366.6489305,23.562,1600355367.5288844,23.437,1600355368.4088774,2.659203290939331

1600355371.3689382,3,True,True,23.625,1600355369.6089296,23.625,1600355370.488944,23.437,1600355371.368932,2.618867874145508

1600355374.4187489,3,True,True,23.687,1600355372.6489377,23.687,1600355373.5288985,23.5,1600355374.4187438,2.6682024002075195

1600355377.3689346,3,True,True,23.625,1600355375.6090906,23.812,1600355376.4889545,23.562,1600355377.368928,2.618011951446533

1600355380.4084334,3,True,True,23.687,1600355378.6489525,23.937,1600355379.528933,23.625,1600355380.40843,2.657007932662964

1600355383.3689342,3,True,True,23.687,1600355381.6089637,24.125,1600355382.4889114,23.75,1600355383.368928,2.6171839237213135

1600355386.4089396,3,True,True,23.687,1600355384.6489909,24.437,1600355385.5289073,23.937,1600355386.4089332,2.6567420959472656

1600355389.3689384,3,False,True,23.687,1600355387.6089234,24.75,1600355388.4889247,24.062,1600355389.3689315,2.616335868835449

1600355392.4089298,3,False,True,23.687,1600355390.6489227,25.0,1600355391.5289564,24.25,1600355392.4089236,2.655881404876709

1600355395.3689454,3,True,True,23.687,1600355393.6089375,25.312,1600355394.4987373,24.437,1600355395.3689387,2.6154839992523193

1600355398.408921,3,True,True,23.687,1600355396.648954,25.687,1600355397.5289347,24.625,1600355398.408915,2.655015230178833

1600355401.3689635,3,True,True,23.687,1600355399.6089423,26.0,1600355400.4888978,24.875,1600355401.3689573,2.614647388458252

1600355404.4090426,3,True,True,23.687,1600355402.6489348,26.375,1600355403.528984,25.125,1600355404.4090352,2.654287099838257

1600355407.3689177,3,True,True,23.625,1600355405.6089506,26.75,1600355406.4889534,25.437,1600355407.3689113,2.613722085952759

1600355410.408911,3,True,True,23.687,1600355408.6489358,27.187,1600355409.5289357,25.75,1600355410.4089048,2.6532647609710693

1600355413.368912,3,False,True,23.687,1600355411.608959,27.625,1600355412.4889457,26.062,1600355413.3689058,2.6128299236297607

1600355416.408919,3,False,True,23.687,1600355414.648978,28.125,1600355415.5289116,26.375,1600355416.408913,2.6523873805999756

1600355419.3689246,3,False,True,23.687,1600355417.608938,28.562,1600355418.4889188,26.687,1600355419.3689177,2.611978054046631

1600355422.4089139,3,True,True,23.687,1600355420.6489515,28.937,1600355421.5289564,27.062,1600355422.408908,2.6514995098114014

1600355425.3687072,3,True,True,23.687,1600355423.6089296,29.375,1600355424.4890165,27.312,1600355425.3687017,2.6108596324920654

1600355428.4089155,3,True,True,23.687,1600355426.6489553,29.75,1600355427.5289354,27.625,1600355428.4089088,2.6506357192993164

1600355431.3689408,3,True,True,23.687,1600355429.6089451,30.187,1600355430.488902,28.0,1600355431.3689342,2.6102495193481445

1600355434.408946,3,True,True,23.75,1600355432.64893,30.625,1600355433.5289197,28.375,1600355434.4089398,2.649798631668091

1600355437.3689275,3,False,True,23.75,1600355435.6087146,31.125,1600355436.4889755,28.75,1600355437.368921,2.6093525886535645

1600355440.408912,3,False,True,23.75,1600355438.6489549,31.562,1600355439.528984,29.062,1600355440.4089055,2.6488847732543945

1600355443.3689072,3,False,True,23.687,1600355441.608745,32.062,1600355442.4889376,29.437,1600355443.3689005,2.608459711074829

1600355446.4089293,3,True,True,23.687,1600355444.6587293,32.5,1600355445.5288997,29.812,1600355446.408923,2.648017406463623

1600355449.3689146,3,True,True,23.75,1600355447.6089215,33.0,1600355448.488913,30.125,1600355449.3689084,2.6075918674468994

1600355452.4089208,3,False,True,23.75,1600355450.648949,33.375,1600355451.5289557,30.5,1600355452.4089143,2.647130012512207

1600355455.3689353,3,True,True,23.75,1600355453.608922,33.812,1600355454.4889164,30.812,1600355455.3689287,2.6067276000976562

1600355458.4088917,3,True,True,23.75,1600355456.6489577,34.187,1600355457.528921,31.25,1600355458.408886,2.6462388038635254

1600355461.368974,3,True,True,23.75,1600355459.6089382,34.625,1600355460.4889014,31.625,1600355461.368968,2.605902910232544

1600355464.4089231,3,True,True,23.75,1600355462.6489255,35.0,1600355463.528914,31.937,1600355464.408917,2.6453893184661865

1600355467.3689518,3,True,True,23.75,1600355465.6089237,35.5,1600355466.4987473,32.312,1600355467.368945,2.60499906539917

1600355470.4089363,3,True,True,23.75,1600355468.6489172,36.0,1600355469.5289195,32.687,1600355470.40893,2.644521713256836

1600355473.3689373,3,True,True,23.812,1600355471.608959,36.5,1600355472.4889026,33.125,1600355473.3689315,2.604107618331909

1600355476.409086,3,True,True,23.812,1600355474.6487322,36.937,1600355475.5288951,33.5,1600355476.4090796,2.643796920776367

1600355479.3689094,3,False,True,23.812,1600355477.6089525,37.5,1600355478.488911,33.875,1600355479.3689027,2.6031949520111084

1600355482.4089026,3,False,True,23.75,1600355480.6489258,37.937,1600355481.5289488,34.312,1600355482.4088964,2.642721652984619

1600355485.3689318,3,False,True,23.75,1600355483.6089225,38.437,1600355484.4889336,34.75,1600355485.3689253,2.6023330688476562

1600355488.4089046,3,False,True,23.75,1600355486.6489785,38.875,1600355487.528932,35.125,1600355488.408898,2.6418395042419434

1600355491.368956,3,False,True,23.75,1600355489.6089337,39.25,1600355490.488909,35.5,1600355491.3689504,2.60148024559021

1600355494.4089167,3,True,True,23.687,1600355492.6489146,39.687,1600355493.5289063,35.875,1600355494.40891,2.640967607498169

1600355497.368935,3,True,True,23.75,1600355495.6089232,40.0,1600355496.488913,36.25,1600355497.3689287,2.6005709171295166

1600355500.4089394,3,True,True,23.75,1600355498.648914,40.375,1600355499.5289054,36.562,1600355500.4089332,2.6401031017303467

1600355503.3689036,3,True,True,23.75,1600355501.6083696,40.75,1600355502.4889545,37.0,1600355503.3688974,2.5996546745300293

1600355506.4089317,3,True,True,23.75,1600355504.6490834,41.125,1600355505.5289288,37.375,1600355506.4089253,2.6392178535461426

1600355509.3689115,3,True,True,23.75,1600355507.608921,41.5,1600355508.4889092,37.75,1600355509.3689053,2.598768949508667

