time,execution_interval,heater_on,fan_on,t0,time_t0,t1,time_t1,t2,time_t2,elapsed
1600263675.4489124,3,False,False,25.437,1600263673.6913767,25.437,1600263674.5689201,25.437,1600263675.448906,2.6525280475616455
1600263678.4088993,3,False,False,25.5,1600263676.6489007,25.5,1600263677.5289233,25.5,1600263678.408893,2.611994743347168
1600263681.44868,3,False,False,25.5,1600263679.6889257,25.5,1600263680.5688963,25.5,1600263681.448675,2.651306390762329
1600263684.4089372,3,False,False,25.5,1600263682.6489282,25.5,1600263683.5290403,25.5,1600263684.4089305,2.6111698150634766
1600263687.448913,3,False,False,25.562,1600263685.6889067,25.5,1600263686.5688944,25.562,1600263687.4489067,2.6506927013397217
1600263690.4089174,3,False,False,25.5,1600263688.6489058,25.562,1600263689.528926,25.5,1600263690.4089115,2.6102774143218994
1600263693.4488983,3,False,False,25.562,1600263691.688472,25.562,1600263692.5689209,25.562,1600263693.4488919,2.6497979164123535
1600263696.408902,3,False,False,25.562,1600263694.6489315,25.562,1600263695.5289028,25.562,1600263696.4088955,2.6093833446502686
1600263699.4489217,3,False,False,25.5,1600263697.6889243,25.562,1600263698.568908,25.562,1600263699.4489148,2.6489436626434326
1600263702.4089186,3,False,False,25.562,1600263700.6488929,25.562,1600263701.5288978,25.562,1600263702.4089117,2.6085283756256104
1600263705.4490366,3,False,False,25.562,1600263703.688893,25.562,1600263704.5689223,25.562,1600263705.4490302,2.6481902599334717
1600263708.4088986,3,False,False,25.562,1600263706.6489158,25.562,1600263707.528908,25.562,1600263708.4088924,2.6076388359069824
1600263711.4488893,3,False,False,25.562,1600263709.6890726,25.562,1600263710.5688918,25.562,1600263711.4488833,2.6471738815307617
1600263714.408946,3,False,False,25.562,1600263712.6489308,25.562,1600263713.5290565,25.562,1600263714.4089394,2.6068198680877686
1600263717.4489214,3,False,False,25.562,1600263715.688906,25.562,1600263716.5688927,25.625,1600263717.4489148,2.6463444232940674
1600263720.4088888,3,False,False,25.562,1600263718.648906,25.562,1600263719.5289102,25.562,1600263720.408883,2.6058902740478516
1600263723.448901,3,False,False,25.562,1600263721.6889174,25.562,1600263722.5689085,25.625,1600263723.4488947,2.6454482078552246
1600263726.40889,3,False,False,25.562,1600263724.6489315,25.562,1600263725.528902,25.562,1600263726.408884,2.605022668838501
1600263729.4489183,3,False,False,25.562,1600263727.6889274,25.562,1600263728.5689065,25.562,1600263729.448912,2.6445908546447754
1600263732.4089255,3,False,False,25.625,1600263730.6488945,25.625,1600263731.528883,25.562,1600263732.4089184,2.6041831970214844
1600263735.448882,3,False,False,25.562,1600263733.6882954,25.562,1600263734.5689425,25.562,1600263735.4488761,2.643679618835449
1600263738.408907,3,False,False,25.562,1600263736.648914,25.562,1600263737.5289123,25.625,1600263738.4089,2.6032867431640625
1600263741.4488833,3,False,False,25.562,1600263739.688936,25.625,1600263740.5688844,25.625,1600263741.448877,2.6427981853485107
1600263744.4089415,3,False,False,25.562,1600263742.648931,25.625,1600263743.528901,25.625,1600263744.4089346,2.6024088859558105
1600263747.4489114,3,False,False,25.562,1600263745.6889174,25.625,1600263746.5688865,25.562,1600263747.4489052,2.641911029815674
1600263750.408902,3,False,False,25.625,1600263748.6489077,25.625,1600263749.5289278,25.625,1600263750.408895,2.60147762298584
1600263753.4488919,3,False,False,25.625,1600263751.688907,25.625,1600263752.5689163,25.625,1600263753.4488857,2.6410045623779297
1600263756.4089594,3,False,False,25.625,1600263754.648941,25.625,1600263755.5289135,25.625,1600263756.4089534,2.6006534099578857
1600263759.4489312,3,False,False,25.562,1600263757.6889362,25.625,1600263758.5688944,25.625,1600263759.4489257,2.6401636600494385
1600263762.4089446,3,False,False,25.625,1600263760.6489186,25.562,1600263761.5288973,25.625,1600263762.408938,2.599761486053467
1600263765.448887,3,False,False,25.625,1600263763.688917,25.625,1600263764.5689442,25.625,1600263765.4488811,2.639235496520996
1600263768.4089093,3,False,False,25.625,1600263766.6489072,25.625,1600263767.528929,25.625,1600263768.4089034,2.5988335609436035
1600263771.448894,3,False,False,25.625,1600263769.6889267,25.562,1600263770.568897,25.625,1600263771.4488878,2.6383538246154785
1600263774.4089477,3,False,False,25.562,1600263772.6489332,25.562,1600263773.5287063,25.625,1600263774.408941,2.5979864597320557
1600263777.4489143,3,False,False,25.625,1600263775.6889148,25.625,1600263776.568894,25.625,1600263777.4489074,2.6374924182891846
1600263780.408907,3,False,False,25.562,1600263778.64891,25.625,1600263779.528923,25.625,1600263780.408901,2.5970637798309326
1600263783.4488974,3,False,False,25.625,1600263781.6889136,25.625,1600263782.5689077,25.625,1600263783.4488914,2.636587142944336
1600263786.4089048,3,False,False,25.625,1600263784.6489367,25.625,1600263785.5289004,25.625,1600263786.408898,2.596177101135254
1600263789.448923,3,False,False,25.625,1600263787.6889274,25.625,1600263788.568904,25.625,1600263789.4489167,2.635725259780884
1600263792.4889045,3,False,False,25.562,1600263790.7289064,25.625,1600263791.6088932,25.625,1600263792.488898,2.6752822399139404
1600263795.4489143,3,False,False,25.625,1600263793.6884568,25.562,1600263794.5689495,25.625,1600263795.4489076,2.634904146194458
1600263798.4889002,3,False,False,25.562,1600263796.7289035,25.625,1600263797.6089156,25.625,1600263798.4888933,2.6744635105133057
1600263801.4488902,3,False,False,25.562,1600263799.6889355,25.625,1600263800.5688832,25.625,1600263801.4488835,2.6340644359588623
1600263804.488944,3,False,False,25.625,1600263802.7289279,25.562,1600263803.6088917,25.625,1600263804.4889374,2.673694133758545
1600263807.4489193,3,False,False,25.562,1600263805.6889157,25.625,1600263806.5688908,25.625,1600263807.448913,2.6332809925079346
1600263810.489043,3,False,False,25.562,1600263808.7289038,25.625,1600263809.6089268,25.562,1600263810.489037,2.672977924346924
1600263813.4489012,3,False,False,25.562,1600263811.688907,25.562,1600263812.568913,25.625,1600263813.4488952,2.632441759109497
1600263816.4889057,3,False,False,25.562,1600263814.7289476,25.625,1600263815.608902,25.625,1600263816.4888995,2.6720266342163086
1600263819.4489229,3,False,False,25.562,1600263817.6889265,25.625,1600263818.5689027,25.562,1600263819.4489162,2.631649971008301
1600263822.4889112,3,False,False,25.562,1600263820.7289076,25.625,1600263821.6088896,25.625,1600263822.488905,2.6712119579315186
1600263825.4488986,3,False,False,25.562,1600263823.688915,25.625,1600263824.5689392,25.562,1600263825.4488919,2.630803108215332
1600263828.4889023,3,False,False,25.625,1600263826.7289164,25.625,1600263827.608916,25.562,1600263828.4888968,2.6703784465789795
1600263831.4488893,3,False,False,25.562,1600263829.6889918,25.562,1600263830.5688808,25.625,1600263831.4488833,2.6299753189086914
1600263834.4889405,3,False,False,25.562,1600263832.7289255,25.625,1600263833.6089025,25.562,1600263834.488934,2.6695942878723145
1600263837.4489148,3,False,False,25.562,1600263835.688913,25.625,1600263836.568896,25.625,1600263837.4489086,2.629173755645752
1600263840.4889042,3,False,False,25.562,1600263838.7289088,25.562,1600263839.6089227,25.562,1600263840.488898,2.668733835220337
1600263843.4488926,3,False,False,25.562,1600263841.6889236,25.562,1600263842.5689049,25.562,1600263843.4488866,2.628323793411255
1600263846.4888914,3,False,False,25.562,1600263844.729082,25.562,1600263845.608894,25.562,1600263846.4888854,2.6678950786590576
1600263849.4487054,3,False,False,25.625,1600263847.6889255,25.562,1600263848.5688922,25.562,1600263849.4487002,2.627291679382324
1600263852.4889166,3,False,False,25.562,1600263850.7289062,25.562,1600263851.6088948,25.562,1600263852.4889097,2.6670987606048584
1600263855.448547,3,False,False,25.562,1600263853.6889122,25.562,1600263854.5682933,25.562,1600263855.4485428,2.626290798187256
1600263858.488911,3,False,False,25.562,1600263856.7289057,25.562,1600263857.608934,25.562,1600263858.4889042,2.6662662029266357
1600263861.4488807,3,False,False,25.562,1600263859.6889393,25.562,1600263860.568884,25.625,1600263861.4488742,2.625842809677124
