time,execution_interval,heater_on,fan_on,t0,time_t0,t1,time_t1,t2,time_t2,elapsed
1600265239.608993,3,False,False,25.562,1600265237.8489325,25.562,1600265238.7289426,25.562,1600265239.6089861,2.610163688659668
1600265242.6489587,3,False,False,25.562,1600265240.8889344,25.5,1600265241.7688994,25.562,1600265242.6489522,2.649672269821167
1600265245.6083522,3,False,False,25.562,1600265243.8489547,25.562,1600265244.728913,25.562,1600265245.6083481,2.608597755432129
1600265248.6489146,3,False,False,25.562,1600265246.8889549,25.562,1600265247.7689352,25.562,1600265248.6489081,2.648782253265381
1600265251.6089094,3,False,False,25.562,1600265249.8489366,25.562,1600265250.7289383,25.562,1600265251.6089034,2.608358383178711
1600265254.6489074,3,False,False,25.562,1600265252.888976,25.562,1600265253.7689433,25.562,1600265254.6489003,2.647901773452759
1600265257.618972,3,False,False,25.562,1600265255.8489254,25.625,1600265256.728887,25.562,1600265257.6189659,2.617553472518921
1600265260.728926,3,False,True,25.562,1600265258.9689546,25.625,1600265259.8489268,25.625,1600265260.7289195,2.726372241973877
1600265263.6089454,3,False,True,25.562,1600265261.848932,25.562,1600265262.7289333,25.562,1600265263.6089385,2.606062889099121
1600265266.649073,3,False,True,25.562,1600265264.8889315,25.562,1600265265.7689435,25.562,1600265266.6490657,2.64573073387146
1600265269.6089272,3,False,True,25.562,1600265267.8589432,25.562,1600265268.728916,25.562,1600265269.6089203,2.605168581008911
1600265272.6489446,3,False,True,25.562,1600265270.888939,25.562,1600265271.7689238,25.562,1600265272.6489384,2.644723415374756
1600265275.6089349,3,False,True,25.562,1600265273.8489287,25.562,1600265274.7290616,25.562,1600265275.6089287,2.6042885780334473
1600265278.6489341,3,False,True,25.562,1600265276.8889341,25.562,1600265277.768874,25.562,1600265278.6489275,2.6438260078430176
1600265281.609559,3,False,True,25.562,1600265279.8489425,25.562,1600265280.732312,25.562,1600265281.6095524,2.6040239334106445
1600265284.6489303,3,False,True,25.5,1600265282.8989384,25.562,1600265283.7689812,25.562,1600265284.6489239,2.642939329147339
1600265287.608979,3,False,True,25.562,1600265285.8490539,25.562,1600265286.728899,25.562,1600265287.608972,2.602569580078125
1600265290.6489334,3,False,True,25.562,1600265288.8896313,25.562,1600265289.7684948,25.562,1600265290.6489267,2.64205002784729
1600265293.6089623,3,False,True,25.562,1600265291.8489375,25.562,1600265292.729199,25.562,1600265293.6089556,2.6016433238983154
1600265296.6489398,3,False,True,25.562,1600265294.8889484,25.5,1600265295.7689404,25.562,1600265296.6489332,2.641138792037964
1600265299.6089525,3,False,True,25.562,1600265297.8489652,25.562,1600265298.7289567,25.562,1600265299.6089456,2.6007232666015625
1600265302.6489651,3,True,True,25.562,1600265300.8892434,25.562,1600265301.768935,25.562,1600265302.6489582,2.6402711868286133
1600265305.608939,3,True,True,25.562,1600265303.8495314,25.562,1600265304.728919,25.562,1600265305.6089325,2.5998082160949707
1600265308.6489484,3,True,True,25.562,1600265306.8895533,25.625,1600265307.768727,25.625,1600265308.6489415,2.639350175857544
1600265311.6089458,3,True,True,25.625,1600265309.848946,25.687,1600265310.7296786,25.75,1600265311.6089392,2.5989232063293457
1600265314.6489308,3,True,True,25.75,1600265312.8889546,25.812,1600265313.7689476,25.875,1600265314.6489244,2.6384494304656982
1600265317.6089613,3,True,True,25.937,1600265315.8489358,26.0,1600265316.7289214,26.062,1600265317.6089547,2.598050355911255
1600265320.6489303,3,True,True,26.187,1600265318.888932,26.25,1600265319.768924,26.312,1600265320.648924,2.6375350952148438
1600265323.6089568,3,True,True,26.375,1600265321.8887112,26.5,1600265322.729486,26.562,1600265323.6089504,2.5971314907073975
1600265326.648936,3,True,True,26.687,1600265324.8889418,26.812,1600265325.7689328,26.937,1600265326.648929,2.6366264820098877
1600265329.6889443,3,True,True,27.0,1600265327.9289432,27.125,1600265328.8089306,27.25,1600265329.6889377,2.6761982440948486
1600265332.648964,3,True,True,27.375,1600265330.8897345,27.5,1600265331.7689307,27.625,1600265332.6489573,2.635822296142578
1600265335.6889322,3,True,True,27.812,1600265333.9289234,27.937,1600265334.8090565,28.062,1600265335.6889255,2.6753504276275635
1600265338.6489525,3,True,True,28.25,1600265336.8889418,28.375,1600265337.7699466,28.5,1600265338.6489458,2.634974718093872
1600265341.7689424,3,True,True,28.687,1600265339.928947,28.812,1600265340.8893645,29.0,1600265341.7689357,2.7545268535614014
1600265344.648938,3,True,True,29.125,1600265342.8889537,29.312,1600265343.7689319,29.437,1600265344.6489313,2.6342074871063232
1600265347.6889453,3,True,True,29.687,1600265345.9289412,29.812,1600265346.8089359,30.0,1600265347.6889389,2.6737821102142334
1600265350.6489398,3,True,True,30.187,1600265348.889102,30.375,1600265349.7689366,30.562,1600265350.6489334,2.6333746910095215
1600265353.6889465,3,True,True,30.75,1600265351.9289408,30.937,1600265352.8089588,31.062,1600265353.6889398,2.6729466915130615
1600265356.6489308,3,True,True,31.312,1600265354.8889637,31.5,1600265355.7689345,31.625,1600265356.648924,2.6325345039367676
1600265359.6889424,3,True,True,31.875,1600265357.9389524,32.062,1600265358.809015,32.25,1600265359.6889358,2.6721224784851074
1600265362.6489592,3,True,True,32.437,1600265360.8889313,32.625,1600265361.7689416,32.812,1600265362.6489527,2.6317355632781982
1600265365.688932,3,True,True,33.062,1600265363.9289315,33.187,1600265364.8090172,33.375,1600265365.688925,2.671262502670288
1600265368.648952,3,True,True,33.625,1600265366.888364,33.812,1600265367.7689407,34.0,1600265368.6489453,2.6308836936950684
1600265371.6885083,3,True,True,34.187,1600265369.928946,34.437,1600265370.8089163,34.562,1600265371.6885037,2.6699533462524414
1600265374.6489086,3,True,True,34.812,1600265372.8899517,35.0,1600265373.768936,35.187,1600265374.6489017,2.630007266998291
1600265377.6889226,3,True,True,35.437,1600265375.9289489,35.625,1600265376.8089182,35.75,1600265377.6889162,2.669586181640625
1600265380.6488986,3,True,True,36.0,1600265378.8889344,36.187,1600265379.7689226,36.375,1600265380.6488924,2.629157543182373
1600265383.688929,3,True,True,36.625,1600265381.928486,36.812,1600265382.8089457,37.0,1600265383.688922,2.6687567234039307
1600265386.6489084,3,True,True,37.25,1600265384.888975,37.437,1600265385.7689338,37.625,1600265386.6489022,2.6283388137817383
1600265389.6889043,3,True,True,37.875,1600265387.9287775,38.062,1600265388.8089218,38.187,1600265389.6888978,2.6679039001464844
1600265392.6490672,3,True,True,38.437,1600265390.8889105,38.625,1600265391.768938,38.812,1600265392.6490612,2.627645969390869
1600265395.6889086,3,True,True,39.062,1600265393.928948,39.25,1600265394.808898,39.437,1600265395.688902,2.6670498847961426
1600265398.6489432,3,True,True,39.625,1600265396.8889232,39.75,1600265397.7689214,39.937,1600265398.6489367,2.6266865730285645
1600265401.688917,3,True,True,40.187,1600265399.9289236,40.437,1600265400.8089488,40.562,1600265401.6889105,2.6662192344665527
1600265404.6489222,3,True,True,40.812,1600265402.8895164,41.0,1600265403.7696855,41.187,1600265404.6489158,2.625833511352539
1600265407.6889553,3,True,True,41.437,1600265405.928934,41.625,1600265406.8095427,41.812,1600265407.6889493,2.6654257774353027
1600265410.6489196,3,True,True,42.0,1600265408.8889313,42.0,1600265409.7689242,42.375,1600265410.6489131,2.6249771118164062
1600265413.6889353,3,True,True,42.625,1600265411.9289315,42.812,1600265412.8089466,43.0,1600265413.6889288,2.664562463760376
1600265416.648928,3,True,True,43.187,1600265414.88958,43.375,1600265415.7689302,43.562,1600265416.648922,2.624163866043091
1600265419.6889412,3,True,True,43.812,1600265417.931095,44.0,1600265418.8089163,44.125,1600265419.6889346,2.6637439727783203
1600265422.6489177,3,True,True,44.375,1600265420.8889341,44.562,1600265421.7689106,44.75,1600265422.6489115,2.623321533203125
1600265425.688941,3,True,True,45.0,1600265423.9289217,45.187,1600265424.8088942,45.375,1600265425.6889346,2.6628971099853516
1600265428.6489465,3,True,True,45.562,1600265426.8910494,45.75,1600265427.7685084,45.937,1600265428.6489398,2.6225063800811768
1600265431.6889424,3,True,True,46.187,1600265429.928934,46.312,1600265430.8089375,46.5,1600265431.688936,2.6620657444000244
1600265434.6489406,3,True,True,46.75,1600265432.8889492,46.875,1600265433.7689445,47.062,1600265434.6489336,2.6216604709625244
1600265437.688954,3,True,True,47.312,1600265435.9289305,47.437,1600265436.8089232,47.625,1600265437.6889477,2.661226987838745
1600265440.648925,3,True,True,47.875,1600265438.8889384,48.0,1600265439.7689364,48.187,1600265440.648919,2.620786428451538
1600265443.6889546,3,True,True,48.437,1600265441.9289398,48.625,1600265442.8089516,48.75,1600265443.6889482,2.6603660583496094
1600265446.6489222,3,True,True,49.0,1600265444.8889346,49.187,1600265445.7689345,49.312,1600265446.6489158,2.619917869567871
1600265449.6889417,3,True,True,49.562,1600265447.9289575,49.75,1600265448.80896,49.875,1600265449.6889353,2.6594901084899902
1600265452.6489582,3,True,True,50.125,1600265450.8889449,50.312,1600265451.7689261,50.437,1600265452.6489518,2.619097948074341
1600265455.6889274,3,True,True,50.687,1600265453.9289384,50.812,1600265454.808922,51.0,1600265455.6889215,2.6586146354675293
1600265458.6489499,3,True,True,51.25,1600265456.8889356,51.375,1600265457.7689455,51.562,1600265458.648943,2.618227481842041
1600265461.6889565,3,True,True,51.812,1600265459.9289377,51.937,1600265460.8089283,52.062,1600265461.6889493,2.657782793045044
