time,execution_interval,heater_on,fan_on,t0,time_t0,t1,time_t1,t2,time_t2,elapsed
1600352044.088932,3,False,True,24.125,1600352042.3289638,24.0,1600352043.2089152,23.937,1600352044.0889256,2.6456618309020996
1600352047.0489504,3,False,True,24.125,1600352045.2889152,24.062,1600352046.1689363,23.937,1600352047.0489438,2.6052629947662354
1600352050.0889046,3,False,True,24.187,1600352048.3289664,24.062,1600352049.208913,23.937,1600352050.0888984,2.644761562347412
1600352053.0489273,3,False,True,24.187,1600352051.2889225,24.125,1600352052.1689472,23.937,1600352053.0489206,2.6043660640716553
1600352056.088912,3,False,True,24.187,1600352054.3289368,24.125,1600352055.20893,24.0,1600352056.0889063,2.6438992023468018
1600352059.0489182,3,False,True,24.25,1600352057.2890866,24.125,1600352058.1689227,24.0,1600352059.048912,2.603482723236084
1600352062.0889568,3,False,True,24.25,1600352060.3289099,24.187,1600352061.208901,24.062,1600352062.0889509,2.643056631088257
1600352065.0488834,3,False,True,24.312,1600352063.289009,24.187,1600352064.1688967,24.062,1600352065.048877,2.6025662422180176
1600352068.0889444,3,False,True,24.312,1600352066.3289335,24.187,1600352067.208937,24.062,1600352068.088938,2.642171859741211
1600352071.0489008,3,False,True,24.312,1600352069.2889366,24.25,1600352070.1688924,24.062,1600352071.0488946,2.6017820835113525
1600352074.0889676,3,False,True,24.312,1600352072.3289416,24.25,1600352073.2089024,24.125,1600352074.088961,2.641387462615967
1600352077.1289809,3,False,True,24.312,1600352075.2889416,24.25,1600352076.209515,24.125,1600352077.1289744,2.6809771060943604
1600352080.0889103,3,False,True,24.375,1600352078.3289373,24.312,1600352079.2089407,24.125,1600352080.0889046,2.6405253410339355
1600352083.048953,3,False,True,24.375,1600352081.288936,24.312,1600352082.1689384,24.125,1600352083.0489466,2.6001458168029785
1600352086.088949,3,False,True,24.437,1600352084.3289135,24.312,1600352085.2089043,24.187,1600352086.0889425,2.6396644115448
1600352089.1289306,3,False,True,24.375,1600352087.3689594,24.312,1600352088.249393,24.187,1600352089.1289241,2.6792142391204834
1600352092.088934,3,False,True,24.437,1600352090.3289242,24.312,1600352091.2089388,24.187,1600352092.088928,2.6388251781463623
1600352095.0488982,3,False,True,24.437,1600352093.2895432,24.375,1600352094.168913,24.25,1600352095.048892,2.598358392715454
1600352098.088942,3,True,True,24.5,1600352096.3289373,24.375,1600352097.2089489,24.25,1600352098.0889356,2.637916088104248
1600352101.0489433,3,True,True,24.5,1600352099.288927,24.437,1600352100.1689024,24.25,1600352101.0489373,2.597484827041626
1600352104.0889158,3,True,True,24.562,1600352102.3289363,24.5,1600352103.2089422,24.312,1600352104.0889091,2.6369874477386475
1600352107.1689496,3,True,True,24.625,1600352105.3689175,24.562,1600352106.2489262,24.375,1600352107.1689434,2.716590404510498
1600352110.0889115,3,True,True,24.75,1600352108.3289418,24.687,1600352109.2089255,24.375,1600352110.0889056,2.636204481124878
1600352113.1283607,3,True,True,24.937,1600352111.369542,24.812,1600352112.2491379,24.5,1600352113.1283574,2.6745738983154297
1600352116.0889559,3,True,True,25.187,1600352114.3285084,25.0,1600352115.2089217,24.625,1600352116.0889492,2.6348559856414795
1600352119.1289508,3,True,True,25.437,1600352117.3689566,25.187,1600352118.2489393,24.75,1600352119.1289444,2.6744086742401123
1600352122.0889492,3,True,True,25.75,1600352120.3289268,25.437,1600352121.20894,24.937,1600352122.0889425,2.6340138912200928
1600352125.1289105,3,True,True,26.062,1600352123.3689523,25.687,1600352124.2489264,25.062,1600352125.1289039,2.673553943634033
1600352128.0889568,3,True,True,26.437,1600352126.3289485,26.0,1600352127.2089474,25.312,1600352128.08895,2.6332030296325684
1600352131.128896,3,True,True,26.875,1600352129.368927,26.312,1600352130.2488866,25.562,1600352131.1288896,2.6727030277252197
1600352134.088964,3,True,True,27.312,1600352132.32894,26.687,1600352133.2089264,25.75,1600352134.088957,2.632377862930298
1600352137.1295762,3,True,True,27.812,1600352135.3689373,27.0,1600352136.2489278,26.0,1600352137.1295695,2.6725587844848633
1600352140.0889304,3,True,True,28.312,1600352138.3289342,27.375,1600352139.20892,26.0,1600352140.088924,2.631523609161377
1600352143.128962,3,True,True,28.812,1600352141.3689456,27.812,1600352142.2489486,26.562,1600352143.1289558,2.6711156368255615
1600352146.0889401,3,True,True,29.375,1600352144.3289917,28.187,1600352145.2089415,26.875,1600352146.0889335,2.630687713623047
1600352149.1289449,3,True,True,29.875,1600352147.3689582,28.625,1600352148.2489288,27.187,1600352149.1289384,2.6702520847320557
1600352152.0889432,3,True,True,30.437,1600352150.3289359,29.125,1600352151.2089489,27.562,1600352152.0889368,2.6298491954803467
1600352155.1289148,3,True,True,31.0,1600352153.3689313,29.562,1600352154.248917,27.875,1600352155.1289089,2.6693828105926514
1600352158.168729,3,True,True,31.562,1600352156.3289554,30.062,1600352157.2089553,28.25,1600352158.1687233,2.708784580230713
1600352161.1287844,3,True,True,32.125,1600352159.3689415,30.5,1600352160.248911,28.625,1600352161.1287785,2.6684722900390625
1600352164.1287184,3,True,True,32.75,1600352162.328952,31.0,1600352163.208947,29.062,1600352164.1287131,2.6679868698120117
1600352167.1290977,3,True,True,33.375,1600352165.368966,31.562,1600352166.2489176,29.5,1600352167.1290913,2.667994976043701
1600352170.1689174,3,True,True,33.937,1600352168.369373,32.062,1600352169.2889361,29.937,1600352170.1689115,2.7074179649353027
1600352173.1289022,3,True,True,34.562,1600352171.3689418,32.562,1600352172.2489297,30.312,1600352173.1288958,2.6670427322387695
1600352176.08893,3,True,True,35.125,1600352174.3283665,33.062,1600352175.2089376,30.687,1600352176.0889237,2.6266701221466064
1600352179.128941,3,True,True,35.75,1600352177.3689365,33.625,1600352178.248933,31.125,1600352179.1289346,2.6662416458129883
1600352182.0889635,3,True,True,36.312,1600352180.328922,34.125,1600352181.2089097,31.562,1600352182.088957,2.6258656978607178
1600352185.1289005,3,True,True,36.937,1600352183.3689554,34.687,1600352184.248915,32.062,1600352185.1288946,2.66536283493042
1600352188.0889275,3,True,True,37.5,1600352186.3289514,35.187,1600352187.2087214,32.437,1600352188.0889213,2.624994993209839
1600352191.1289065,3,True,True,38.125,1600352189.3689346,35.75,1600352190.2489107,32.937,1600352191.1289003,2.664524555206299
1600352194.0889385,3,True,True,38.75,1600352192.3289347,36.312,1600352193.20893,33.437,1600352194.0889318,2.6241519451141357
1600352197.1288748,3,True,True,39.375,1600352195.3689477,36.937,1600352196.2489073,33.937,1600352197.1288688,2.663632869720459
1600352200.0889373,3,True,True,39.937,1600352198.3289502,37.5,1600352199.2084997,34.5,1600352200.088931,2.623316764831543
1600352203.128934,3,True,True,40.562,1600352201.3689506,38.062,1600352202.248941,35.0,1600352203.1289268,2.6628663539886475
1600352206.0889494,3,True,True,41.125,1600352204.328917,38.562,1600352205.2089145,35.375,1600352206.0889423,2.6224727630615234
1600352209.1289344,3,True,True,41.75,1600352207.3689656,39.125,1600352208.2489457,35.875,1600352209.128928,2.6620123386383057
