time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed
1600361405.5289257,3,False,True,24.125,1600361403.7690918,25.625,1600361404.6489146,25.5,1600361405.5289195,2.665044069290161
1600361408.4889247,3,False,True,24.125,1600361406.7289608,25.625,1600361407.6089165,25.5,1600361408.4889183,2.624645709991455
1600361411.5289414,3,False,True,24.062,1600361409.7689269,25.625,1600361410.6489165,25.5,1600361411.528935,2.6642205715179443
1600361414.4889023,3,False,True,24.125,1600361412.7289684,25.625,1600361413.608934,25.5,1600361414.4888964,2.62378191947937
1600361417.5289013,3,False,True,24.125,1600361415.7689288,25.625,1600361416.6489117,25.5,1600361417.5288947,2.663348913192749
1600361420.488908,3,False,True,24.125,1600361418.7288878,25.625,1600361419.6090121,25.5,1600361420.4889019,2.622960090637207
1600361423.5289228,3,False,True,24.062,1600361421.7689676,25.625,1600361422.6489275,25.5,1600361423.528916,2.662536144256592
1600361426.4889128,3,False,True,24.062,1600361424.7289143,25.625,1600361425.608924,25.5,1600361426.4889064,2.6220922470092773
1600361429.5289009,3,True,True,24.062,1600361427.7689643,25.625,1600361428.6487277,25.5,1600361429.5288947,2.6618051528930664
1600361432.4889522,3,True,True,24.125,1600361430.7289562,25.625,1600361431.6089697,25.5,1600361432.4889457,2.6214675903320312
1600361435.528937,3,True,True,24.125,1600361433.769662,25.687,1600361434.6489315,25.5,1600361435.52893,2.661013603210449
1600361438.4889693,3,True,True,24.125,1600361436.7289593,25.812,1600361437.6089568,25.562,1600361438.4889624,2.6206576824188232
1600361441.528949,3,True,True,24.125,1600361439.768945,25.937,1600361440.6887212,25.625,1600361441.528942,2.660184860229492
1600361444.488959,3,True,True,24.062,1600361442.7289517,26.125,1600361443.6089551,25.75,1600361444.4889526,2.6197872161865234
1600361447.5289412,3,True,True,24.062,1600361445.7689464,26.375,1600361446.6489713,25.937,1600361447.5289347,2.659323215484619
1600361450.4889176,3,True,True,24.062,1600361448.728959,26.625,1600361449.6089187,26.062,1600361450.4889107,2.618886947631836
1600361453.5289488,3,False,True,24.062,1600361451.7689402,26.937,1600361452.6489127,26.25,1600361453.5289426,2.6584746837615967
1600361456.4889185,3,False,True,24.062,1600361454.7289443,27.312,1600361455.608924,26.437,1600361456.4889119,2.6180331707000732
1600361459.5289543,3,True,True,24.062,1600361457.7689435,27.687,1600361458.6489289,26.625,1600361459.528947,2.6576240062713623
1600361462.4889102,3,True,True,24.062,1600361460.728947,28.0,1600361461.6089242,26.875,1600361462.488904,2.617171287536621
1600361465.5289457,3,True,True,24.062,1600361463.7689633,28.375,1600361464.6488862,27.062,1600361465.528939,2.6567656993865967
1600361468.488936,3,True,True,24.125,1600361466.7289586,28.75,1600361467.6089306,27.375,1600361468.4889293,2.6163489818573
1600361471.5289345,3,True,True,24.062,1600361469.7689278,29.125,1600361470.6489346,27.625,1600361471.5289278,2.6558918952941895
1600361474.4889219,3,True,True,24.125,1600361472.7289448,29.562,1600361473.6089406,27.875,1600361474.4889152,2.615474224090576
1600361477.5289395,3,False,True,24.125,1600361475.7689438,30.0,1600361476.6489098,28.25,1600361477.528933,2.6550469398498535
1600361480.488928,3,False,True,24.125,1600361478.7292795,30.5,1600361479.6089456,28.5,1600361480.4889216,2.6146445274353027
1600361483.5289402,3,False,True,24.125,1600361481.7689362,30.875,1600361482.648954,28.875,1600361483.5289335,2.654205322265625
1600361486.4889479,3,True,True,24.125,1600361484.7289283,31.312,1600361485.6089134,29.187,1600361486.4889417,2.613797426223755
1600361489.528949,3,True,True,24.125,1600361487.7689419,31.687,1600361488.648954,29.5,1600361489.5289423,2.6533448696136475
1600361492.4889534,3,True,True,24.125,1600361490.7283044,32.125,1600361491.6089306,29.812,1600361492.4889462,2.6129438877105713
1600361495.528898,3,True,True,24.125,1600361493.7695332,32.562,1600361494.6488745,30.187,1600361495.5288913,2.6524322032928467
1600361498.488916,3,False,True,24.125,1600361496.7289307,33.0,1600361497.6089005,30.5,1600361498.4889095,2.612039566040039
1600361501.5289211,3,False,True,24.125,1600361499.7689245,33.5,1600361500.6489055,30.875,1600361501.5289145,2.6518092155456543
1600361504.4890728,3,False,True,24.125,1600361502.7287607,33.937,1600361503.6089094,31.187,1600361504.4890668,2.611551284790039
1600361507.5289333,3,False,True,24.062,1600361505.7689197,34.375,1600361506.6489313,31.5,1600361507.528926,2.6509652137756348
1600361510.488952,3,True,True,24.125,1600361508.728509,34.687,1600361509.6089091,31.875,1600361510.4889455,2.610572338104248
