time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed
1608572942.7203069,3,False,False,21.062,1608572940.960282,23.0,1608572941.8402665,22.625,1608572942.7203002,2.644883394241333
1608572945.680248,3,False,False,21.062,1608572943.920279,23.0,1608572944.800238,22.687,1608572945.6802409,2.6044130325317383
1608572948.7196321,3,False,False,21.062,1608572946.9602706,23.062,1608572947.839638,22.687,1608572948.7196288,2.6432812213897705
1608572951.6796293,3,False,False,21.062,1608572949.9196413,23.062,1608572950.799879,22.75,1608572951.6796262,2.602874755859375
1608572954.719632,3,True,True,21.062,1608572952.959648,23.062,1608572953.8396404,22.75,1608572954.7196286,2.6424479484558105
1608572957.679665,3,True,True,21.062,1608572955.9196362,23.25,1608572956.7996187,22.875,1608572957.6796615,2.60208797454834
1608572960.719627,3,False,True,21.062,1608572958.9596329,23.5,1608572959.8396218,22.937,1608572960.719624,2.6416165828704834
1608572963.6796253,3,True,True,21.062,1608572961.9196365,23.812,1608572962.7996352,23.062,1608572963.6796222,2.601227045059204
1608572966.719632,3,False,True,21.062,1608572964.959639,24.125,1608572965.8396335,23.187,1608572966.719628,2.640803337097168
1608572969.679626,3,True,True,21.062,1608572967.9196434,24.375,1608572968.799632,23.312,1608572969.6796224,2.600402355194092
1608572972.7196429,3,False,True,21.062,1608572970.959634,24.75,1608572971.8396919,23.437,1608572972.7196398,2.639988899230957
1608572975.6796355,3,True,True,21.062,1608572973.9196317,25.062,1608572974.799622,23.625,1608572975.679632,2.599587917327881
1608572978.719767,3,False,True,21.062,1608572976.9596276,25.437,1608572977.8396382,23.812,1608572978.7197607,2.6393072605133057
1608572981.6796217,3,True,True,21.062,1608572979.9196374,25.75,1608572980.7996309,24.0,1608572981.6796186,2.5987439155578613
1608572984.71964,3,False,True,21.0,1608572982.9596403,26.062,1608572983.8396428,24.125,1608572984.7196364,2.638329267501831
1608572987.7596486,3,True,True,21.062,1608572985.999637,26.437,1608572986.879621,24.375,1608572987.759645,2.6779396533966064
1608572990.7196286,3,False,True,21.062,1608572988.9596415,26.812,1608572989.8396382,24.562,1608572990.7196255,2.6375675201416016
1608572993.6796398,3,True,True,21.062,1608572991.9196436,27.125,1608572992.7996492,24.75,1608572993.6796367,2.5971691608428955
1608572996.7196429,3,True,True,21.062,1608572994.959644,27.437,1608572995.8396273,25.0,1608572996.7196395,2.6367390155792236
1608572999.679643,3,False,True,21.062,1608572997.9196622,27.875,1608572998.7996428,25.25,1608572999.6796398,2.5963425636291504
1608573002.7196386,3,True,True,21.0,1608573000.9596355,28.25,1608573001.8496428,25.5,1608573002.7196352,2.6359057426452637
1608573005.679634,3,True,True,21.0,1608573003.9196355,28.562,1608573004.799641,25.75,1608573005.6796315,2.5955071449279785
1608573008.7196572,3,False,True,21.062,1608573006.9596293,29.0,1608573007.839634,26.062,1608573008.7196536,2.6351001262664795
1608573011.7596393,3,True,True,21.062,1608573009.9996448,29.375,1608573010.8796387,26.312,1608573011.7596362,2.6746833324432373
1608573014.7196388,3,False,True,21.062,1608573012.9596562,29.812,1608573013.839639,26.625,1608573014.7196357,2.634324789047241
1608573017.7596436,3,True,True,21.0,1608573015.9996815,30.187,1608573016.8796394,26.875,1608573017.7596402,2.673936367034912
1608573020.7196333,3,True,True,21.062,1608573018.969656,30.562,1608573019.8396442,27.125,1608573020.71963,2.6335654258728027
1608573023.759649,3,False,True,21.062,1608573021.9996471,31.0,1608573022.879635,27.437,1608573023.7596457,2.673189878463745
1608573026.7196429,3,True,True,21.0,1608573024.9596446,31.375,1608573025.8396432,27.75,1608573026.7196398,2.6328251361846924
1608573029.7596428,3,False,True,21.0,1608573027.99964,31.812,1608573028.8796446,28.062,1608573029.7596388,2.672424793243408
1608573032.719641,3,True,True,21.062,1608573030.9596498,32.187,1608573031.8396633,28.312,1608573032.7196379,2.632066488265991
1608573035.759642,3,False,True,21.062,1608573033.9996436,32.562,1608573034.8796372,28.625,1608573035.7596388,2.671668291091919
1608573038.7196496,3,False,True,21.062,1608573036.9596446,32.937,1608573037.8396416,28.937,1608573038.7196462,2.6313040256500244
1608573041.7596357,3,False,True,21.062,1608573039.99965,33.312,1608573040.8796341,29.25,1608573041.7596323,2.6708765029907227
1608573044.7196383,3,False,True,21.062,1608573042.9596438,33.625,1608573043.839644,29.562,1608573044.719635,2.630518674850464
1608573047.7596452,3,False,True,21.062,1608573045.9996479,33.875,1608573046.8796275,29.812,1608573047.7596421,2.67012619972229
