time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed
1600433282.6488063,3,False,True,25.375,1600433280.8089828,25.437,1600433281.6889713,25.25,1600433282.6488016,2.69803786277771
1600433285.6089637,3,False,True,25.375,1600433283.848954,25.437,1600433284.728928,25.25,1600433285.6089573,2.6578571796417236
1600433288.5689495,3,False,True,25.375,1600433286.8089626,25.437,1600433287.6889296,25.25,1600433288.5689428,2.617427110671997
1600433291.6189528,3,False,True,25.375,1600433289.8489175,25.437,1600433290.7289639,25.25,1600433291.618946,2.6669881343841553
1600433294.6489465,3,True,True,25.437,1600433292.8887267,25.437,1600433293.7690663,25.25,1600433294.6489396,2.6965909004211426
1600433297.6484754,3,True,True,25.437,1600433295.8489723,25.437,1600433296.7289555,25.312,1600433297.6484723,2.6956961154937744
1600433300.568943,3,True,True,25.437,1600433298.808957,25.562,1600433299.6889188,25.312,1600433300.5689359,2.6158788204193115
1600433303.6089158,3,True,True,25.562,1600433301.8490956,25.687,1600433302.7289162,25.375,1600433303.6089096,2.65539813041687
1600433306.5689554,3,True,True,25.625,1600433304.8089116,25.875,1600433305.688917,25.5,1600433306.568949,2.6150288581848145
1600433309.6089504,3,True,True,25.812,1600433307.8489192,26.062,1600433308.7289405,25.625,1600433309.6089435,2.6545825004577637
1600433312.5689201,3,True,True,26.0,1600433310.8089783,26.375,1600433311.688964,25.812,1600433312.5689137,2.614142656326294
1600433315.6089115,3,True,True,26.25,1600433313.8489506,26.75,1600433314.728898,26.0,1600433315.6089056,2.6536865234375
1600433318.5689156,3,True,True,26.562,1600433316.8089414,27.062,1600433317.688925,26.25,1600433318.5689094,2.613273859024048
1600433321.6089344,3,True,True,26.812,1600433319.848941,27.5,1600433320.7289329,26.562,1600433321.6089277,2.6528477668762207
1600433324.5689075,3,True,True,27.25,1600433322.808913,28.0,1600433323.6887074,26.812,1600433324.568901,2.6124093532562256
1600433327.6088967,3,True,True,27.625,1600433325.8489892,28.5,1600433326.7289302,27.125,1600433327.6088908,2.651946544647217
1600433330.5689242,3,True,True,28.0,1600433328.808905,29.0,1600433329.6889062,27.5,1600433330.5689173,2.6115612983703613
1600433333.6089447,3,True,True,28.437,1600433331.8489544,29.625,1600433332.7288833,27.875,1600433333.6089385,2.6511306762695312
1600433336.5689197,3,True,True,28.937,1600433334.8089464,30.125,1600433335.6889853,28.25,1600433336.5689132,2.610707998275757
1600433339.608928,3,True,True,29.437,1600433337.8489237,30.75,1600433338.7289011,28.625,1600433339.6089213,2.650264024734497
1600433342.568927,3,True,True,30.0,1600433340.8089776,31.375,1600433341.688961,29.062,1600433342.5689204,2.6098573207855225
1600433345.6089413,3,True,True,30.5,1600433343.8489428,31.937,1600433344.7288969,29.5,1600433345.6089349,2.6494243144989014
1600433348.5689042,3,True,True,31.0,1600433346.8089309,32.562,1600433347.688911,30.0,1600433348.5688975,2.6089723110198975
1600433351.6089394,3,True,True,31.5,1600433349.8489227,33.187,1600433350.7289402,30.437,1600433351.6089325,2.648555040359497
1600433354.5689063,3,True,True,32.062,1600433352.808927,33.812,1600433353.6889153,30.937,1600433354.5688996,2.608104705810547
1600433357.6088967,3,True,True,32.625,1600433355.8489614,34.437,1600433356.7289295,31.437,1600433357.6088903,2.647636651992798
1600433360.5689733,3,True,True,32.625,1600433358.8083012,35.125,1600433359.6889443,31.875,1600433360.5689662,2.607269525527954
1600433363.6089587,3,True,True,33.75,1600433361.8887277,35.812,1600433362.7289264,32.375,1600433363.6089525,2.6467835903167725
1600433366.568946,3,True,True,34.437,1600433364.8489397,35.812,1600433365.6890225,32.875,1600433366.5689392,2.6063601970672607
1600433369.6089437,3,True,True,35.0,1600433367.8489277,37.062,1600433368.7297084,33.375,1600433369.6089377,2.6459054946899414
1600433372.608709,3,True,True,35.562,1600433370.812444,37.687,1600433371.688956,33.875,1600433372.6087034,2.645231008529663
1600433375.7689452,3,True,True,36.125,1600433373.8489435,38.312,1600433374.8085058,34.437,1600433375.7689388,2.8050827980041504
1600433378.568936,3,True,True,36.687,1600433376.8090932,39.0,1600433377.6888986,34.937,1600433378.5689294,2.604816436767578
1600433381.6089444,3,True,True,37.312,1600433379.8489285,39.687,1600433380.7289236,35.437,1600433381.6089375,2.6443660259246826
1600433384.568897,3,True,True,37.875,1600433382.8089275,40.312,1600433383.688911,36.0,1600433384.5688908,2.603893756866455
1600433387.688923,3,True,True,38.562,1600433385.9289598,41.0,1600433386.8089104,36.562,1600433387.6889167,2.723463296890259
1600433390.568941,3,True,True,39.125,1600433388.8089354,41.625,1600433389.6889052,37.062,1600433390.568935,2.6031434535980225
1600433393.6089165,3,True,True,39.687,1600433391.8489497,42.187,1600433392.7289217,37.687,1600433393.60891,2.642653226852417
1600433396.5689373,3,True,True,40.312,1600433394.8089132,42.812,1600433395.6889338,38.187,1600433396.568931,2.6022591590881348
1600433399.608907,3,True,True,40.937,1600433397.8489227,43.437,1600433398.7289073,38.812,1600433399.6089003,2.6417646408081055
1600433402.569062,3,True,True,41.562,1600433400.8089283,44.062,1600433401.6889513,39.375,1600433402.5690553,2.6015005111694336
1600433405.6087098,3,True,True,42.125,1600433403.8489356,44.687,1600433404.7288966,39.875,1600433405.6087043,2.640662431716919
1600433408.569017,3,True,True,42.75,1600433406.808938,45.312,1600433407.688909,40.437,1600433408.5690103,2.60056734085083
1600433411.608948,3,True,True,43.375,1600433409.8489199,45.937,1600433410.7289116,40.937,1600433411.6089416,2.64003586769104
1600433414.568889,3,True,True,43.937,1600433412.808925,46.562,1600433413.6889021,41.437,1600433414.5688822,2.5995535850524902
1600433417.6089177,3,True,True,44.5,1600433415.848733,47.187,1600433416.7289367,42.0,1600433417.6089113,2.6391170024871826
1600433420.5689392,3,True,True,45.125,1600433418.8083584,47.812,1600433419.6889389,42.5,1600433420.5689325,2.598721504211426
1600433423.6089382,3,True,True,45.687,1600433421.8489397,48.437,1600433422.7289035,43.062,1600433423.6089315,2.6382484436035156
1600433426.5687253,3,True,True,46.25,1600433424.8089085,49.062,1600433425.688915,43.562,1600433426.5687194,2.5975942611694336
1600433429.608928,3,True,True,46.812,1600433427.8489206,49.625,1600433428.728903,44.187,1600433429.608921,2.637356758117676
1600433432.568908,3,True,True,47.375,1600433430.8089566,50.187,1600433431.6889253,44.687,1600433432.5689015,2.5969138145446777
1600433435.6090226,3,True,True,47.937,1600433433.8489351,50.812,1600433434.728896,45.187,1600433435.6090164,2.63655948638916
1600433438.6489062,3,True,True,48.5,1600433436.8889353,51.375,1600433437.7688928,45.75,1600433438.6488998,2.676020622253418
1600433441.6088467,3,True,True,49.062,1600433439.8489172,51.937,1600433440.7289107,46.312,1600433441.608841,2.6355528831481934
1600433444.6489074,3,True,True,49.562,1600433442.8889155,52.5,1600433443.7689044,46.812,1600433444.6489015,2.675206422805786
