time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed
1600362965.6889217,3,False,True,24.125,1600362963.928923,28.812,1600362964.8089066,28.625,1600362965.6889153,2.602400541305542
1600362968.7288945,3,False,True,24.125,1600362966.968924,28.75,1600362967.8489416,28.625,1600362968.7288885,2.641908884048462
1600362971.6888902,3,False,True,24.125,1600362969.9288995,28.75,1600362970.808885,28.625,1600362971.6888838,2.6016900539398193
1600362974.728902,3,False,True,24.187,1600362972.9685016,28.75,1600362973.8488894,28.562,1600362974.7288961,2.64125394821167
1600362977.6889234,3,False,True,24.187,1600362975.9289203,28.75,1600362976.8088799,28.562,1600362977.6889164,2.6008524894714355
1600362980.7289193,3,False,True,24.125,1600362978.9689233,28.687,1600362979.8488994,28.562,1600362980.728913,2.6403822898864746
1600362983.688891,3,False,True,24.125,1600362981.9289036,28.687,1600362982.8089423,28.562,1600362983.6888843,2.59993577003479
1600362986.7288907,3,False,True,24.125,1600362984.9689019,28.687,1600362985.848899,28.5,1600362986.728884,2.639465093612671
1600362989.6889083,3,False,True,24.125,1600362987.9289594,28.625,1600362988.8088846,28.5,1600362989.6889017,2.599062204360962
1600362992.7289166,3,False,True,24.125,1600362990.968923,28.625,1600362991.8488898,28.5,1600362992.7289104,2.6386117935180664
1600362995.6888895,3,False,True,24.125,1600362993.928921,28.625,1600362994.8088996,28.5,1600362995.6888833,2.5981593132019043
1600362998.7289014,3,False,True,24.125,1600362996.9689362,28.625,1600362997.8489368,28.437,1600362998.728895,2.637709140777588
1600363001.7688985,3,True,True,24.187,1600363000.0089169,28.625,1600363000.8888984,28.437,1600363001.768892,2.677278518676758
1600363004.728912,3,True,True,24.125,1600363002.968299,28.625,1600363003.848889,28.437,1600363004.7289054,2.6369144916534424
1600363007.7689207,3,True,True,24.187,1600363006.008924,28.625,1600363006.8888807,28.437,1600363007.768914,2.6764976978302
1600363010.7289052,3,True,True,24.125,1600363008.9689333,28.75,1600363009.8489048,28.5,1600363010.7288988,2.6360981464385986
1600363013.768702,3,True,True,24.125,1600363012.008905,28.875,1600363012.8889456,28.562,1600363013.7686968,2.6754462718963623
1600363016.7288985,3,True,True,24.187,1600363014.968928,29.062,1600363015.8489065,28.625,1600363016.728892,2.6352787017822266
1600363019.768905,3,True,True,24.125,1600363018.0089543,29.312,1600363018.8889174,28.75,1600363019.7688987,2.674859046936035
1600363022.7289503,3,True,True,24.125,1600363020.96893,29.562,1600363021.848911,28.875,1600363022.7289436,2.6345102787017822
1600363025.8489022,3,True,True,24.125,1600363024.08873,29.875,1600363024.968888,29.062,1600363025.8488953,2.754034996032715
1600363028.7288857,3,True,True,24.187,1600363026.9689076,30.25,1600363027.8489313,29.25,1600363028.7288797,2.633711099624634
1600363031.7689,3,True,True,24.125,1600363030.0089116,30.625,1600363030.8888948,29.437,1600363031.7688937,2.6732940673828125
1600363034.7289133,3,True,True,24.125,1600363032.96895,31.0,1600363033.8488908,29.687,1600363034.7289064,2.632925510406494
1600363037.7689223,3,True,True,24.187,1600363036.0089211,31.437,1600363036.888899,29.937,1600363037.768916,2.672506093978882
1600363040.7288897,3,True,True,24.187,1600363038.968986,31.875,1600363039.8489175,30.25,1600363040.728883,2.6320858001708984
1600363043.7688968,3,True,True,24.125,1600363042.0089216,32.375,1600363042.888962,30.562,1600363043.7688906,2.671785593032837
