time,event,code
1614861060000000000,"Lid Opened","lid_open"
1614861220000000000,"Lid Closed","lid_close"
1614862680000000000,"Lid Opened","lid_open"
1614862770000000000,"Lid Closed","lid_close"
1614864190000000000,"Lid Opened","lid_open"
1614864280000000000,"Lid Closed","lid_close"
1614865680000000000,"Lid Opened","lid_open"
1614865770000000000,"Lid Closed","lid_close"
1614867210000000000,"Lid Opened","lid_open"
1614867211000000000,"Added a cup of water","object_add"
1614867300000000000,"Lid Closed","lid_close"
1614868710000000000,"Lid Opened","lid_open"
1614868800000000000,"Lid Closed","lid_close"
1614876660000000000,"Lid Opened","lid_open"
1614876661000000000,"Added a cup of water","object_remove"
1614876750000000000,"Lid Closed","lid_close"
