time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1614859007119846022,20.937,1614859005360261879,23.437,1614859006240283419,23.312,1614859007119842744,23.3745,False,True,3,2.6085093021392822
1614859010160238574,20.937,1614859008400317992,23.437,1614859009280255885,23.25,1614859010160233463,23.3435,False,True,3,2.6484806537628174
1614859013120280282,20.937,1614859011360266312,23.437,1614859012240297778,23.312,1614859013120274708,23.3745,False,True,3,2.6081035137176514
1614859016160426023,20.937,1614859014400295685,23.437,1614859015281121879,23.25,1614859016160420709,23.3435,False,True,3,2.647784948348999
1614859019120303030,20.937,1614859017360296634,23.437,1614859018240302378,23.25,1614859019120297808,23.3435,False,True,3,2.6072354316711426
1614859022160334884,20.937,1614859020400529134,23.437,1614859021280298048,23.25,1614859022160328847,23.3435,False,True,3,2.6468093395233154
1614859025120307278,20.937,1614859023360306735,23.437,1614859024240294979,23.312,1614859025120301741,23.3745,False,True,3,2.6063623428344727
1614859028160290930,20.937,1614859026400313849,23.437,1614859027280301445,23.312,1614859028160285430,23.3745,False,True,3,2.64587664604187
1614859031120424932,20.937,1614859029360280131,23.437,1614859030240269727,23.25,1614859031120419802,23.3435,False,False,3,2.6055855751037598
1614859034160265901,20.937,1614859032400294875,23.437,1614859033290145883,23.25,1614859034160261067,23.3435,True,True,3,2.6449644565582275
1614859037120280108,20.937,1614859035360366915,23.437,1614859036240203773,23.25,1614859037120275127,23.3435,True,True,3,2.6045522689819336
1614859040160271964,20.937,1614859038400220532,23.5,1614859039280241479,23.312,1614859040160267112,23.406,True,True,3,2.6440773010253906
1614859043120261042,20.937,1614859041360303461,23.687,1614859042240290742,23.375,1614859043120256135,23.531,True,True,3,2.603642463684082
1614859046240237581,20.937,1614859044400291186,23.875,1614859045320971539,23.437,1614859046240232674,23.656,True,True,3,2.7231497764587402
1614859049120268661,20.937,1614859047360282284,24.187,1614859048240320138,23.5,1614859049120263661,23.8435,True,True,3,2.6028385162353516
1614859052160285774,20.937,1614859050400285027,24.5,1614859051280291178,23.625,1614859052160280774,24.0625,True,True,3,2.6423850059509277
1614859055120291186,20.937,1614859053370087444,24.875,1614859054240285275,23.812,1614859055120286112,24.3435,False,True,3,2.6019580364227295
1614859058240297632,20.937,1614859056480289366,25.312,1614859057360276407,23.937,1614859058240292577,24.6245,False,True,3,2.7215042114257812
1614859061120236935,20.937,1614859059360283206,25.687,1614859060240271783,24.125,1614859061120232843,24.906,False,True,3,2.6010775566101074
1614859064160291400,20.937,1614859062400299968,26.062,1614859063280429765,24.312,1614859064160286049,25.187,False,True,3,2.6406631469726562
1614859067120270183,20.937,1614859065360285769,26.375,1614859066240275272,24.5,1614859067120265054,25.4375,False,True,3,2.6002161502838135
1614859070160264131,20.937,1614859068400306938,26.687,1614859069280277164,24.687,1614859070160258612,25.687,False,True,3,2.639737844467163
1614859073120317727,20.937,1614859071360283350,26.937,1614859072240263095,24.875,1614859073120311949,25.906,False,True,3,2.599365711212158
1614859076159844608,20.937,1614859074400302316,27.187,1614859075280297393,25.062,1614859076159841163,26.1245,False,True,3,2.6383798122406006
1614859079120291364,20.937,1614859077360308283,27.437,1614859078240291805,25.187,1614859079120286068,26.312,False,True,3,2.5984420776367188
1614859082160283071,20.937,1614859080400296583,27.562,1614859081280289068,25.375,1614859082160277145,26.4685,False,True,3,2.637964963912964
1614859085200277537,20.937,1614859083439642467,27.75,1614859084320250942,25.5,1614859085200272278,26.625,True,True,3,2.677530527114868
1614859088160313319,20.937,1614859086400077872,27.937,1614859087280307205,25.687,1614859088160307023,26.812,True,True,3,2.63716721534729
1614859091200260767,20.937,1614859089440279964,28.125,1614859090320290634,25.875,1614859091200255082,27.0,True,True,3,2.6766815185546875
1614859094160268605,20.937,1614859092400331005,28.375,1614859093280281824,26.062,1614859094160263123,27.2185,True,True,3,2.6362955570220947
1614859097200303589,20.937,1614859095440284990,28.687,1614859096320290697,26.25,1614859097200298144,27.4685,True,True,3,2.67590594291687
1614859100160233279,20.937,1614859098410305274,29.0,1614859099280251091,26.562,1614859100160227280,27.781,True,True,3,2.6354455947875977
1614859103200327077,20.937,1614859101440278053,29.375,1614859102320055300,26.812,1614859103200321670,28.0935,True,True,3,2.6751153469085693
1614859106160278434,20.937,1614859104400277927,29.812,1614859105280227080,27.062,1614859106160273675,28.437,False,True,3,2.6346659660339355
1614859109200346399,20.937,1614859107440268282,30.25,1614859108320042419,27.312,1614859109200341232,28.781,False,True,3,2.6743154525756836
1614859112160266775,20.937,1614859110400313545,30.625,1614859111280257790,27.625,1614859112160261719,29.125,False,True,3,2.633831262588501
1614859115200272685,20.937,1614859113450242403,31.0,1614859114320270996,27.875,1614859115200267814,29.4375,False,True,3,2.673373222351074
1614859118160281892,20.937,1614859116400289312,31.375,1614859117290307946,28.125,1614859118160276762,29.75,False,True,3,2.632985830307007
1614859121200264747,20.937,1614859119440269351,31.625,1614859120320278206,28.375,1614859121200260228,30.0,False,True,3,2.672532081604004
1614859124160300213,20.937,1614859122400295503,31.937,1614859123280313525,28.625,1614859124160295121,30.281,False,True,3,2.6321728229522705
1614859127240879104,20.937,1614859125440267895,32.125,1614859126320295417,28.875,1614859127240873826,30.5,False,True,3,2.712311267852783
1614859130160274684,20.937,1614859128400273548,32.125,1614859129280286069,29.062,1614859130160268980,30.5935,False,True,3,2.631347417831421
1614859133200275335,20.937,1614859131440288976,32.5,1614859132320308035,29.312,1614859133200270039,30.906,False,True,3,2.6709165573120117
1614859136160245488,20.937,1614859134400316647,32.687,1614859135280246318,29.5,1614859136160240210,31.0935,False,True,3,2.6304914951324463
1614859139280265859,20.937,1614859137480828613,32.812,1614859138400295152,29.687,1614859139280260693,31.249499999999998,True,True,3,2.7500743865966797
1614859142160312512,20.937,1614859140400272803,32.937,1614859141280288732,29.875,1614859142160306549,31.406,True,True,3,2.6297993659973145
1614859145200302145,20.937,1614859143439728499,33.125,1614859144320289067,30.062,1614859145200296996,31.5935,True,True,3,2.6693553924560547
1614859148160266112,20.937,1614859146400287661,33.375,1614859147280302127,30.25,1614859148160260909,31.8125,True,True,3,2.628908634185791
1614859151200261467,20.937,1614859149440308108,33.625,1614859150320260649,30.5,1614859151200256301,32.0625,True,True,3,2.6684629917144775
1614859154160283471,20.937,1614859152400304020,33.937,1614859153280309060,30.75,1614859154160278212,32.3435,True,True,3,2.6280877590179443
1614859157200302881,21.0,1614859155440307800,34.25,1614859156320266656,30.937,1614859157200296881,32.5935,True,True,3,2.6676666736602783
1614859160160269108,20.937,1614859158400335508,34.625,1614859159280259845,31.187,1614859160160264515,32.906,False,True,3,2.627225637435913
1614859163200294962,20.937,1614859161440267030,35.062,1614859162320296977,31.437,1614859163200289055,33.2495,False,True,3,2.6668126583099365
1614859166160416483,20.937,1614859164400336348,35.375,1614859165280274574,31.687,1614859166160411186,33.531,False,True,3,2.6265251636505127
1614859169200263192,20.937,1614859167450299502,35.75,1614859168320058840,32.0,1614859169200257840,33.875,False,True,3,2.665935516357422
