time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1682912554273107499,23.062,1682912554192856639,24.312,1682912554232822932,22.125,1682912554272705263,23.687,False,False,3.0,1.0254018306732178
1682912557313698460,23.062,1682912557272792494,24.375,1682912557232848441,22.125,1682912557313344724,23.7185,False,False,3.0,1.0649278163909912
1682912560282455551,23.062,1682912560232232220,24.375,1682912560192178595,22.062,1682912560282224276,23.7185,False,False,3.0,1.0316381454467773
1682912563313803672,23.125,1682912563273056592,24.375,1682912563232827969,22.062,1682912563313317234,23.75,False,False,3.0,1.0610134601593018
1682912566283347240,23.125,1682912566243313892,24.375,1682912566192896637,22.062,1682912566282895616,23.75,False,False,3.0,1.0285553932189941
1682912569355826554,23.125,1682912569312675522,24.375,1682912569233476610,22.062,1682912569354314851,23.75,False,False,3.0,1.0990321636199951
1682912572323292319,23.125,1682912572192873957,24.437,1682912572322858862,22.062,1682912572282819013,23.781,False,False,3.0,1.064523696899414
1682912575323250345,23.125,1682912575232881553,24.437,1682912575284000208,22.062,1682912575322811499,23.781,False,False,3.0,1.0624501705169678
1682912578313718954,23.187,1682912578192893414,24.437,1682912578276254498,22.062,1682912578313372088,23.812,False,False,3.0,1.0508897304534912
1682912581322443484,23.187,1682912581232218560,24.5,1682912581272930086,22.062,1682912581322178876,23.8435,False,False,3.0,1.0575838088989258
1682912584313029169,23.187,1682912584272773932,24.5,1682912584192811712,22.0,1682912584312671358,23.8435,False,False,3.0,1.0462145805358887
1682912587313519082,23.187,1682912587313091884,24.5,1682912587273644915,22.0,1682912587233625397,23.8435,False,False,3.0,1.0464391708374023
1682912590313232691,23.187,1682912590192860809,24.562,1682912590272800012,22.0,1682912590312774530,23.8745,False,False,3.0,1.0457372665405273
1682912593313153279,23.187,1682912593272906394,24.562,1682912593232815395,22.0,1682912593312656230,23.8745,False,False,3.0,1.0435810089111328
1682912596313274088,23.25,1682912596312855074,24.562,1682912596202654452,22.0,1682912596272724150,23.906,False,False,3.0,1.0424726009368896
