time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1682921346593334747,36.312,1682921346513461498,35.187,1682921346552954186,22.875,1682921346592840070,35.7495,True,True,3.0,1.0305490493774414
1682921349594276605,36.375,1682921349472571448,35.25,1682921349553665658,22.875,1682921349593680023,35.8125,True,True,3.0,1.0312941074371338
1682921352612622147,36.437,1682921352562858932,35.312,1682921352522659755,22.875,1682921352612367762,35.8745,True,True,3.0,1.0488245487213135
1682921355722560963,36.5,1682921355552748319,35.375,1682921355722339060,22.875,1682921355592666815,35.9375,True,True,3.0,1.1581127643585205
1682921358724973953,36.5,1682921358553291135,35.375,1682921358724363445,22.812,1682921358592745658,35.9375,True,True,3.0,1.1588177680969238
1682921361633980572,36.562,1682921361593806542,35.437,1682921361633521598,22.875,1682921361552961912,35.9995,True,True,3.0,1.067530632019043
1682921364633205249,36.625,1682921364592916738,35.5,1682921364553265699,22.875,1682921364632709331,36.0625,True,True,3.0,1.0647494792938232
1682921368682801328,36.75,1682921368552845525,35.562,1682921368642917291,22.875,1682921368682468296,36.156,True,True,3.0,2.1123578548431396
1682921370593108768,36.75,1682921370552900070,35.625,1682921370512841999,22.875,1682921370592710516,36.1875,True,True,3.0,1.021737813949585
1682921373633291559,36.812,1682921373553447041,35.625,1682921373632780883,22.875,1682921373592932956,36.2185,True,True,3.0,1.0598995685577393
1682921376603077912,36.875,1682921376552833922,35.687,1682921376512850053,22.875,1682921376602710992,36.281,True,True,3.0,1.0292024612426758
1682921379633409207,36.937,1682921379632898549,35.75,1682921379553188509,22.875,1682921379592775478,36.3435,True,True,3.0,1.058621883392334
1682921382603044359,36.937,1682921382602634755,35.812,1682921382512808609,22.875,1682921382562655162,36.3745,True,True,3.0,1.0281493663787842
1682921385633328601,37.0,1682921385632905497,35.812,1682921385592788184,22.875,1682921385552849923,36.406,True,True,3.0,1.057769775390625
1682921388633244530,37.062,1682921388522827752,35.875,1682921388592638891,22.812,1682921388632654095,36.4685,True,True,3.0,1.0570883750915527
1682921391633050701,37.187,1682921391553639836,35.937,1682921391592714113,22.812,1682921391632671355,36.562,True,True,3.0,1.0548903942108154
1682921394633297660,37.187,1682921394512847163,35.937,1682921394592907683,22.875,1682921394632840575,36.562,True,True,3.0,1.053159475326538
1682921397633183514,37.25,1682921397554494672,36.0,1682921397592807536,22.812,1682921397632705966,36.625,True,True,3.0,1.0526435375213623
1682921400633166957,37.25,1682921400513497073,36.062,1682921400592895903,22.875,1682921400632719224,36.656,True,True,3.0,1.0506129264831543
1682921403673331418,37.312,1682921403632904311,36.062,1682921403592849623,22.812,1682921403672917184,36.687,True,True,3.0,1.0899484157562256
1682921406643275038,37.375,1682921406512857019,36.062,1682921406642857674,22.812,1682921406592854934,36.7185,True,True,3.0,1.0591158866882324
1682921409633101761,37.437,1682921409552909460,36.187,1682921409592675764,22.875,1682921409632597288,36.812,True,True,3.0,1.0478978157043457
1682921412634148865,37.437,1682921412513074388,36.187,1682921412593318616,22.812,1682921412633594967,36.812,True,True,3.0,1.0478808879852295
1682921415633301648,37.5,1682921415552818294,36.25,1682921415632930988,22.812,1682921415592863502,36.875,True,True,3.0,1.0450074672698975
1682921418633697241,37.562,1682921418512925830,36.312,1682921418592811639,22.812,1682921418633154880,36.937,True,True,3.0,1.0446417331695557
1682921421643274008,37.625,1682921421642809831,36.312,1682921421552911839,22.812,1682921421602786937,36.9685,True,True,3.0,1.0521972179412842
1682921424673304686,37.687,1682921424592709683,36.375,1682921424552783138,22.812,1682921424672812750,37.031,True,True,3.0,1.080221176147461
1682921428633310926,37.75,1682921428512820265,36.437,1682921428592790891,22.812,1682921428632926340,37.0935,True,True,3.0,2.0382418632507324
1682921430643073805,37.75,1682921430513069064,36.5,1682921430642636535,22.812,1682921430592730047,37.125,True,True,3.0,1.046968698501587
1682921433643257257,37.812,1682921433593556192,36.5,1682921433552904473,22.812,1682921433642640953,37.156,True,True,3.0,1.046999216079712
1682921436633319396,37.812,1682921436594680254,36.562,1682921436512874694,22.812,1682921436632847089,37.187,True,True,3.0,1.035057544708252
