time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed
1600356388.8088953,3,False,False,23.5,1600356387.0489428,34.875,1600356387.928695,34.062,1600356388.8088894,2.6631903648376465
1600356391.768922,3,False,False,23.5,1600356390.0089242,34.812,1600356390.889049,34.0,1600356391.7689152,2.6228153705596924
1600356394.8089015,3,False,False,23.437,1600356393.0489259,34.75,1600356393.9289038,33.937,1600356394.8088949,2.662356376647949
1600356397.7688951,3,False,False,23.5,1600356396.0089033,34.687,1600356396.888925,33.812,1600356397.768889,2.621950626373291
1600356400.8088949,3,False,False,23.5,1600356399.0489295,34.625,1600356399.928906,33.812,1600356400.808888,2.661506414413452
1600356403.7688851,3,False,False,23.5,1600356402.0089457,34.562,1600356402.8888943,33.687,1600356403.7688794,2.6210970878601074
1600356406.8087187,3,False,False,23.437,1600356405.048913,34.5,1600356405.9288757,33.687,1600356406.8087132,2.6604671478271484
1600356409.7689404,3,False,False,23.437,1600356408.0089197,34.437,1600356408.8883545,33.625,1600356409.7689335,2.620286703109741
1600356412.8089,3,False,False,23.437,1600356411.0489316,34.437,1600356411.9289258,33.562,1600356412.808894,2.6598000526428223
1600356415.7688982,3,False,True,23.437,1600356414.0089362,34.375,1600356414.8888915,33.5,1600356415.7688916,2.6193931102752686
1600356418.8089736,3,False,True,23.437,1600356417.049082,34.25,1600356417.9289076,33.437,1600356418.808967,2.659029960632324
1600356421.7689536,3,True,True,23.437,1600356420.0089633,34.187,1600356420.8889005,33.375,1600356421.768947,2.618610143661499
1600356424.8088558,3,True,True,23.437,1600356423.0489483,34.187,1600356423.9289253,33.375,1600356424.8088498,2.6580581665039062
1600356427.768935,3,True,True,23.437,1600356426.0089104,34.25,1600356426.8887486,33.375,1600356427.768928,2.617734670639038
1600356430.8089008,3,True,True,23.437,1600356429.048712,34.312,1600356429.9289181,33.437,1600356430.8088946,2.6572535037994385
1600356433.768891,3,True,True,23.437,1600356432.0089917,34.437,1600356432.8887072,33.5,1600356433.7688842,2.6168413162231445
1600356436.812237,3,True,True,23.437,1600356435.0489216,34.562,1600356435.9288888,33.562,1600356436.8122299,2.659740447998047
1600356439.8087099,3,True,True,23.437,1600356438.0089319,34.75,1600356438.888933,33.687,1600356439.808704,2.655773401260376
1600356442.809559,3,True,True,23.437,1600356441.0489395,35.0,1600356441.928722,33.875,1600356442.8095522,2.6562387943267822
1600356445.7688975,3,False,True,23.437,1600356444.008944,35.312,1600356444.8889227,34.0,1600356445.7688913,2.6151793003082275
1600356448.808906,3,False,True,23.437,1600356447.0491898,35.625,1600356447.9289534,34.0,1600356448.8088994,2.6547341346740723
1600356451.768962,3,True,True,23.375,1600356450.0089555,35.875,1600356450.8890758,34.375,1600356451.7689545,2.6143805980682373
1600356454.8493874,3,True,True,23.375,1600356453.0489538,36.187,1600356453.928912,34.562,1600356454.8493822,2.694312572479248
1600356457.7689495,3,True,True,23.375,1600356456.0089424,36.437,1600356456.888741,34.812,1600356457.7689426,2.6135244369506836
