time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed
1608639796.0003028,3,False,False,21.25,1608639794.240285,23.062,1608639795.1203318,22.125,1608639796.0002964,2.6308517456054688
1608639799.1202662,3,True,True,21.25,1608639797.3208945,23.125,1608639798.2402673,22.187,1608639799.120259,2.750368356704712
1608639802.0002813,3,True,True,21.25,1608639800.2403176,23.437,1608639801.1202703,22.312,1608639802.0002747,2.630082368850708
1608639805.0402856,3,True,True,21.25,1608639803.2802844,23.75,1608639804.1602638,22.5,1608639805.0402794,2.66963267326355
1608639808.0003395,3,True,True,21.25,1608639806.2402816,24.187,1608639807.12029,22.687,1608639808.0003319,2.629302501678467
1608639811.0402834,3,True,True,21.25,1608639809.2802749,24.625,1608639810.1602826,22.937,1608639811.0402768,2.6687982082366943
1608639814.0003,3,True,True,21.25,1608639812.240462,25.125,1608639813.1202989,23.187,1608639814.0002937,2.628420352935791
1608639817.0402937,3,True,True,21.25,1608639815.2802863,25.625,1608639816.16028,23.437,1608639817.0402877,2.6679606437683105
1608639820.0002964,3,False,True,21.25,1608639818.2402985,26.062,1608639819.1202793,23.75,1608639820.0002894,2.6275577545166016
1608639823.0402815,3,False,True,21.25,1608639821.2802904,26.625,1608639822.1602798,24.0,1608639823.0402746,2.6670899391174316
1608639826.0006025,3,False,True,21.25,1608639824.2402894,27.125,1608639825.1196587,24.312,1608639826.000596,2.6270012855529785
1608639829.0402906,3,False,True,21.25,1608639827.280977,27.625,1608639828.19991,24.625,1608639829.0402834,2.6662375926971436
1608639832.0015032,3,False,True,21.25,1608639830.2402973,28.0,1608639831.120284,24.937,1608639832.0014966,2.6270341873168945
1608639835.040269,3,False,True,21.25,1608639833.2802842,28.375,1608639834.1602905,25.187,1608639835.0402617,2.665346145629883
1608639838.0003328,3,False,True,21.25,1608639836.2402844,28.687,1608639837.1202602,25.5,1608639838.0003266,2.6250193119049072
1608639841.0400913,3,False,True,21.25,1608639839.280289,28.937,1608639840.1602836,25.75,1608639841.0400858,2.664320707321167
1608639844.000298,3,False,True,21.25,1608639842.2402756,29.25,1608639843.120276,26.0,1608639844.0002909,2.624152421951294
1608639847.040298,3,False,True,21.25,1608639845.2802804,29.437,1608639846.1602893,26.25,1608639847.0402918,2.6637015342712402
1608639850.0002651,3,False,True,21.25,1608639848.2403054,29.625,1608639849.1202648,26.5,1608639850.000259,2.62326979637146
1608639853.0402815,3,True,True,21.25,1608639851.2802896,29.812,1608639852.16029,26.687,1608639853.0402758,2.6628427505493164
1608639856.0002992,3,True,True,21.25,1608639854.240287,30.0,1608639855.1202593,26.875,1608639856.0002925,2.622460126876831
1608639859.040276,3,True,True,21.25,1608639857.28044,30.187,1608639858.1602676,27.125,1608639859.0402699,2.6619796752929688
1608639862.000279,3,True,True,21.25,1608639860.2402925,30.437,1608639861.1202798,27.312,1608639862.000272,2.6215922832489014
1608639865.0402896,3,True,True,21.25,1608639863.2802827,30.687,1608639864.1602557,27.562,1608639865.0402832,2.661139726638794
1608639868.0003102,3,True,True,21.25,1608639866.240312,31.0,1608639867.1202555,27.812,1608639868.000304,2.620762586593628
1608639871.0403013,3,True,True,21.25,1608639869.280275,31.375,1608639870.1602507,28.062,1608639871.0402951,2.66029691696167
1608639874.000279,3,False,True,21.25,1608639872.2403066,31.812,1608639873.1202822,28.312,1608639874.0002716,2.6198697090148926
1608639877.0402958,3,False,True,21.25,1608639875.2802832,32.187,1608639876.1602569,28.625,1608639877.0402896,2.6594276428222656
1608639880.000249,3,False,True,21.25,1608639878.24031,32.562,1608639879.1204147,28.875,1608639880.0002422,2.61897873878479
1608639883.0402737,3,False,True,21.25,1608639881.280288,32.875,1608639882.1602566,29.187,1608639883.040267,2.658555507659912
1608639885.9998457,3,False,True,21.312,1608639884.2402885,33.187,1608639885.1204145,29.437,1608639885.9998412,2.6176705360412598
1608639889.040294,3,False,True,21.25,1608639887.2802875,33.5,1608639888.1602714,29.687,1608639889.0402873,2.657716989517212
1608639892.0002959,3,False,True,21.25,1608639890.240301,33.75,1608639891.120085,29.875,1608639892.0002885,2.617313861846924
1608639895.0402412,3,False,True,21.25,1608639893.2803009,33.937,1608639894.1604185,30.125,1608639895.0402343,2.6568026542663574
1608639898.0003016,3,False,True,21.25,1608639896.240281,34.125,1608639897.120283,30.375,1608639898.0002947,2.616455554962158
1608639901.0401244,3,False,True,21.25,1608639899.2803047,34.312,1608639900.1602857,30.625,1608639901.0401185,2.6558001041412354
1608639904.0002909,3,True,True,21.25,1608639902.2402995,34.437,1608639903.120285,30.812,1608639904.0002825,2.6155881881713867
