t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
21.125,1611324983760332307,21.437,1611324984640289685,21.25,1611324985520789166,21.3435,False,False,3,2.6318838596343994
21.187,1611324986800636427,21.437,1611324987680294200,21.25,1611324988560669813,21.3435,False,False,3,2.671316146850586
21.187,1611324989760950543,21.437,1611324990640285933,21.25,1611324991520263534,21.3435,False,False,3,2.630519151687622
21.187,1611324992800341145,21.375,1611324993680276674,21.25,1611324994560286257,21.3125,False,False,3,2.670083999633789
21.187,1611324995760283142,21.437,1611324996640285318,21.25,1611324997520138627,21.3435,False,False,3,2.629512310028076
21.187,1611324998800359626,21.437,1611324999680282323,21.25,1611325000560285241,21.3435,False,False,3,2.6692378520965576
21.187,1611325001760296886,21.437,1611325002640308212,21.25,1611325003520319334,21.3435,False,False,3,2.628870725631714
21.125,1611325004840297046,21.437,1611325005680300184,21.25,1611325006560598172,21.3435,False,False,3,2.6686956882476807
21.187,1611325007760605653,21.437,1611325008640295818,21.25,1611325009520281812,21.3435,False,False,3,2.627976655960083
21.187,1611325010800680905,21.437,1611325011680278665,21.25,1611325012560593043,21.3435,False,False,3,2.667839527130127
21.187,1611325013760622081,21.437,1611325014640290581,21.25,1611325015520968879,21.3435,False,False,3,2.6278076171875
21.187,1611325016800618708,21.437,1611325017680331356,21.25,1611325018560683513,21.3435,False,False,3,2.6670784950256348
21.187,1611325019761063602,21.437,1611325020640297388,21.25,1611325021524251245,21.3435,False,False,3,2.6302359104156494
21.187,1611325022800321375,21.437,1611325023680300558,21.25,1611325024560276370,21.3435,False,False,3,2.6658401489257812
21.187,1611325025760318725,21.437,1611325026640288815,21.25,1611325027520067687,21.3435,False,True,3,2.6252009868621826
21.187,1611325028840997260,21.375,1611325029680265230,21.25,1611325030560285246,21.3125,False,False,3,2.665001392364502
21.187,1611325031760287641,21.437,1611325032640297991,21.25,1611325033520295989,21.3435,False,False,3,2.6245992183685303
21.187,1611325034880091920,21.375,1611325035760288638,21.25,1611325036640277230,21.3125,False,False,3,2.7441306114196777
21.187,1611325037760295675,21.375,1611325038640299637,21.25,1611325039520291748,21.3125,False,False,3,2.6238131523132324
21.187,1611325040799764531,21.437,1611325041680460779,21.25,1611325042560299338,21.3435,False,False,3,2.6633739471435547
21.187,1611325043760299421,21.437,1611325044640275366,21.25,1611325045520313125,21.3435,False,False,3,2.622978925704956
21.187,1611325046800315272,21.437,1611325047680636249,21.25,1611325048560658676,21.3435,False,False,3,2.66286301612854
21.187,1611325049800062589,21.375,1611325050640280861,21.25,1611325051520281474,21.3125,False,False,3,2.6220977306365967
21.187,1611325052800881797,21.437,1611325053680300902,21.25,1611325054560382199,21.3435,False,False,3,2.6618950366973877
21.187,1611325055760275547,21.437,1611325056640288475,21.25,1611325057520295886,21.3435,False,False,3,2.621399164199829
21.187,1611325058800316035,21.437,1611325059680229021,21.25,1611325060560288524,21.3435,False,False,3,2.6609420776367188
21.187,1611325061760294185,21.437,1611325062640295615,21.25,1611325063520287342,21.3435,False,False,3,2.620529890060425
21.187,1611325064800308900,21.437,1611325065680283868,21.25,1611325066560289594,21.3435,False,False,3,2.660076379776001
21.187,1611325067760336998,21.437,1611325068640296263,21.25,1611325069520287787,21.3435,False,False,3,2.6196582317352295
21.187,1611325070800588064,21.437,1611325071680288019,21.25,1611325072559866402,21.3435,False,False,3,2.6587424278259277
21.187,1611325073760323282,21.437,1611325074640288288,21.25,1611325075520288980,21.3435,False,False,3,2.618802547454834
21.187,1611325076840288841,21.375,1611325077680284937,21.25,1611325078560306036,21.3125,False,False,3,2.658372640609741
21.187,1611325079760318369,21.375,1611325080640288432,21.25,1611325081520294828,21.3125,False,False,3,2.6179463863372803
21.187,1611325082800566664,21.375,1611325083680296973,21.25,1611325084560279777,21.3125,False,False,3,2.657477855682373
21.187,1611325085760622550,21.437,1611325086640446802,21.25,1611325087520297628,21.3435,False,False,3,2.617086172103882
21.187,1611325088800683279,21.437,1611325089680287183,21.25,1611325090560582391,21.3435,False,False,3,2.6569013595581055
21.187,1611325091760605875,21.375,1611325092640299352,21.25,1611325093520298139,21.3125,False,False,3,2.616197347640991
21.187,1611325094800701032,21.437,1611325095680289196,21.25,1611325096560595164,21.3435,False,False,3,2.6560306549072266
21.187,1611325097760676093,21.437,1611325098640304831,21.25,1611325099520280638,21.3435,False,False,3,2.615291118621826
21.187,1611325100799707827,21.437,1611325101680293402,21.25,1611325102560072454,21.3435,False,False,3,2.654608964920044
21.187,1611325103760293881,21.437,1611325104640271708,21.25,1611325105520283386,21.3435,False,False,3,2.614434242248535
21.187,1611325106800317010,21.437,1611325107680300744,21.25,1611325108560279201,21.3435,False,False,3,2.6539711952209473
21.187,1611325109760293596,21.437,1611325110680064320,21.25,1611325111600299666,21.3435,False,False,3,2.6935784816741943
21.187,1611325112800318580,21.437,1611325113680298445,21.25,1611325114560268866,21.3435,False,False,3,2.653163194656372
21.187,1611325115760285373,21.437,1611325116640282683,21.25,1611325117520295770,21.3435,False,False,3,2.612720012664795
21.187,1611325118800680521,21.437,1611325119680292578,21.25,1611325120560601680,21.3435,False,False,3,2.6525657176971436
21.187,1611325121760608985,21.437,1611325122640295320,21.25,1611325123520299408,21.3435,False,False,3,2.611877679824829
21.187,1611325124800644013,21.437,1611325125680290108,21.25,1611325126560598692,21.3435,False,False,3,2.651714563369751
21.187,1611325127760624239,21.437,1611325128680067378,21.25,1611325129520281960,21.3435,False,False,3,2.610971450805664
21.187,1611325130800652677,21.437,1611325131680280551,21.25,1611325132560356343,21.3435,False,False,3,2.6505579948425293
21.187,1611325133760604407,21.437,1611325134640292039,21.25,1611325135521113153,21.3435,False,False,3,2.6109049320220947
21.187,1611325136800556665,21.437,1611325137680298945,21.25,1611325138560298128,21.3435,False,False,3,2.6496260166168213
