time,t1,time_t1,t2,time_t2,t3,time_t3,average_temperature,heater_on,fan_on,execution_interval,elapsed
1632768290618360303,22.25,1632768288858343178,25.25,1632768289738359472,24.75,1632768290618355341,25.0,False,False,3.0,2.6497902870178223
1632768293578494870,22.25,1632768291818602001,25.25,1632768292698782071,24.75,1632768293578489888,25.0,False,False,3.0,2.6095454692840576
1632768296618353477,22.25,1632768294858873158,25.25,1632768295738377219,24.75,1632768296618348199,25.0,False,False,3.0,2.6488993167877197
1632768299588508811,22.25,1632768297818390122,25.187,1632768298698388009,24.75,1632768299588503626,24.9685,False,True,3.0,2.618724822998047
1632768302618431204,22.25,1632768300868375366,25.25,1632768301738483113,24.812,1632768302618426408,25.031,True,True,3.0,2.6481292247772217
1632768305578358847,22.25,1632768303818388017,25.25,1632768304698359923,24.812,1632768305578354496,25.031,True,True,3.0,2.607651472091675
1632768308628385646,22.25,1632768306858388455,25.375,1632768307738341677,24.812,1632768308628380924,25.0935,False,True,3.0,2.6572251319885254
1632768311578396557,22.25,1632768309818539170,25.5,1632768310698376707,24.875,1632768311578391390,25.1875,False,True,3.0,2.6068406105041504
1632768314618355514,22.25,1632768312858381832,25.625,1632768313738354350,24.937,1632768314618350626,25.281,False,True,3.0,2.6464271545410156
1632768317658387100,22.25,1632768315898392122,25.75,1632768316778597284,25.0,1632768317658382378,25.375,False,True,3.0,2.6860239505767822
1632768320618379409,22.25,1632768318858374876,25.875,1632768319738394615,25.062,1632768320618374558,25.4685,False,True,3.0,2.6456894874572754
1632768323579901771,22.25,1632768321818371055,26.0,1632768322698381535,25.125,1632768323579897179,25.5625,False,True,3.0,2.6067867279052734
1632768326618372175,22.25,1632768324858373031,26.062,1632768325738356418,25.187,1632768326618367120,25.6245,False,True,3.0,2.644803285598755
1632768329578385299,22.25,1632768327818383710,26.187,1632768328698359079,25.25,1632768329578379984,25.7185,False,True,3.0,2.604405641555786
1632768332699045024,22.25,1632768330858380389,26.25,1632768331738367702,25.312,1632768332699040598,25.781,False,True,3.0,2.7245688438415527
1632768335578363324,22.25,1632768333818377383,26.312,1632768334698369918,25.375,1632768335578358620,25.8435,True,True,3.0,2.6035819053649902
1632768338618372429,22.25,1632768336858383951,26.437,1632768337738376449,25.437,1632768338618367447,25.937,True,True,3.0,2.6431381702423096
1632768341578395626,22.25,1632768339818424963,26.562,1632768340698386480,25.562,1632768341578390404,26.062,False,True,3.0,2.602743148803711
1632768344698372898,22.25,1632768342938101609,26.687,1632768343818362770,25.625,1632768344698367694,26.156,False,True,3.0,2.722254991531372
1632768347578405447,22.25,1632768345818421099,26.875,1632768346698459485,25.687,1632768347578400522,26.281,False,True,3.0,2.601975202560425
1632768350618369960,22.25,1632768348858376593,27.0,1632768349738381443,25.812,1632768350618364423,26.406,False,True,3.0,2.6414949893951416
1632768353578887651,22.25,1632768351818406235,27.187,1632768352698438455,25.937,1632768353578882577,26.562,False,True,3.0,2.601613759994507
1632768356618365837,22.312,1632768354858389988,27.312,1632768355748362941,26.0,1632768356618361300,26.656,False,True,3.0,2.6397781372070312
1632768359578427830,22.25,1632768357818402575,27.375,1632768358698623163,26.125,1632768359578422664,26.75,False,True,3.0,2.5994224548339844
1632768362618367066,22.312,1632768360858241034,27.5,1632768361738384067,26.187,1632768362618362158,26.8435,False,True,3.0,2.638906478881836
1632768365578367967,22.25,1632768363818374322,27.562,1632768364698366432,26.25,1632768365578362986,26.906,False,True,3.0,2.5984690189361572
1632768368618369072,22.25,1632768366858366242,27.625,1632768367778363518,26.375,1632768368618363590,27.0,True,True,3.0,2.638002634048462
1632768371658374566,22.25,1632768369898425550,27.75,1632768370778396289,26.437,1632768371658369529,27.0935,True,True,3.0,2.677600383758545
1632768374618382282,22.25,1632768372858418099,27.875,1632768373739013275,26.562,1632768374618377041,27.2185,False,True,3.0,2.6372594833374023
1632768377658355239,22.25,1632768375898371927,28.062,1632768376778518016,26.625,1632768377658350480,27.3435,False,True,3.0,2.676762819290161
1632768380618899318,22.25,1632768378858406458,28.187,1632768379738377290,26.75,1632768380618894318,27.4685,False,True,3.0,2.637131929397583
1632768383658428819,22.25,1632768381898901779,28.312,1632768382778403062,26.875,1632768383658423578,27.5935,False,True,3.0,2.676064968109131
1632768386618899251,22.25,1632768384858373799,28.437,1632768385738335612,26.937,1632768386618894325,27.687,False,True,3.0,2.6362924575805664
1632768389658409214,22.25,1632768387898382663,28.562,1632768388778350310,27.062,1632768389658404103,27.812,False,True,3.0,2.675206184387207
1632768392618354228,22.25,1632768390858367379,28.687,1632768391738391210,27.187,1632768392618349468,27.937,False,True,3.0,2.6347737312316895
1632768395658387129,22.25,1632768393908885060,28.812,1632768394778886420,27.25,1632768395658381684,28.031,False,True,3.0,2.674384832382202
1632768398618354882,22.25,1632768396858390552,28.875,1632768397738348403,27.312,1632768398618349549,28.0935,False,True,3.0,2.6339781284332275
1632768401658905609,22.25,1632768399898403120,28.937,1632768400777911217,27.437,1632768401658900591,28.187,True,True,3.0,2.6741323471069336
1632768404628422212,22.25,1632768402868452233,29.0,1632768403738380464,27.5,1632768404628417434,28.25,True,True,3.0,2.64322829246521
1632768407658393456,22.25,1632768405898446940,29.125,1632768406778387125,27.625,1632768407658388549,28.375,False,True,3.0,2.672790765762329
1632768410618395913,22.25,1632768408858392194,29.25,1632768409738390989,27.687,1632768410618390987,28.4685,False,True,3.0,2.632398843765259
1632768413668373120,22.25,1632768411908387327,29.437,1632768412788392566,27.812,1632768413668368009,28.6245,False,True,3.0,2.6819379329681396
1632768416618393012,22.25,1632768414868426635,29.562,1632768415738386847,27.937,1632768416618387827,28.7495,False,True,3.0,2.631563186645508
1632768419668598401,22.25,1632768417898500915,29.687,1632768418778409378,28.062,1632768419668593142,28.8745,False,True,3.0,2.6813080310821533
1632768422618402148,22.25,1632768420858002713,29.812,1632768421738394631,28.125,1632768422618396722,28.9685,False,True,3.0,2.630769729614258
1632768425818389549,22.25,1632768423898387368,29.875,1632768424868394468,28.25,1632768425818384253,29.0625,False,True,3.0,2.8305728435516357
1632768428618388247,22.25,1632768426858388473,30.0,1632768427738380582,28.312,1632768428618383118,29.156,False,True,3.0,2.630042791366577
1632768431658387704,22.25,1632768429898383652,30.062,1632768430778367521,28.437,1632768431658382556,29.2495,False,True,3.0,2.669642925262451
1632768434619032578,22.25,1632768432858377813,30.125,1632768433738466365,28.5,1632768434619027522,29.3125,True,True,3.0,2.6298820972442627
1632768437748413830,22.25,1632768435978416473,30.187,1632768436858386453,28.562,1632768437748408645,29.3745,True,True,3.0,2.758864402770996
1632768440618389482,22.25,1632768438858403763,30.312,1632768439738889551,28.687,1632768440618384649,29.4995,False,True,3.0,2.6284894943237305
1632768443658505530,22.25,1632768441898703494,30.437,1632768442778387737,28.812,1632768443658500456,29.6245,False,True,3.0,2.668294906616211
1632768446618383100,22.25,1632768444858387900,30.562,1632768445748382204,28.875,1632768446618377989,29.7185,False,True,3.0,2.6277365684509277
1632768449658389557,22.25,1632768447898961330,30.687,1632768448778387910,29.0,1632768449658384316,29.8435,False,True,3.0,2.6673316955566406
1632768452618387032,22.25,1632768450858388665,30.875,1632768451778386089,29.125,1632768452618381754,30.0,False,True,3.0,2.6269397735595703
1632768455658269102,22.25,1632768453898388030,30.937,1632768454778532433,29.187,1632768455658264806,30.062,False,True,3.0,2.666257381439209
1632768458618463371,22.25,1632768456858502874,31.0,1632768457738388077,29.312,1632768458618458075,30.156,False,True,3.0,2.6261422634124756
1632768461658393477,22.25,1632768459898385166,31.125,1632768460778389275,29.375,1632768461658388403,30.25,False,True,3.0,2.665672779083252
1632768464618421137,22.25,1632768462868442798,31.187,1632768463738412472,29.437,1632768464618416100,30.312,False,True,3.0,2.62526798248291
1632768467658419520,22.25,1632768465898164860,31.187,1632768466788419124,29.562,1632768467658414187,30.3745,True,True,3.0,2.6648383140563965
